Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0040017,positive regulation of locomotion,19_GO:0040011 locomotion,-10,3.2,8,16289,629,325,40,12,1.8,11475|11820|12043|12168|12317|12877|13078|14165|14178|15234|16000|16011|16149|16195|16403|16452|16803|16819|17311|17392|18595|18606|18829|20296|20306|20307|20312|20356|20541|20656|22341|24047|27226|55985|76527|79221|107589|227541|238871|320924,Acta2|App|Bcl2|Bmpr2|Calr|Cpeb1|Cyp1b1|Fgf10|Fgf7|Hgf|Igf1|Igfbp5|Cd74|Il6st|Itga6|Jak2|Lbp|Lcn2|Kitl|Mmp3|Pdgfra|Enpp2|Ccl21a|Ccl2|Ccl7|Ccl8|Cx3cl1|Sema5a|Slc8a1|Sod2|Vegfc|Ccl19|Pla2g7|Cxcl13|Il34|Hdac9|Mylk|Camk1d|Pde4d|Ccbe1,-7.9,Pdgfra_low_UP
GO Biological Processes,19,GO:0060326,cell chemotaxis,19_GO:0040011 locomotion,-9.4,5.3,8.7,16289,197,325,21,6.5,1.4,13123|15234|16803|16948|17329|18595|18606|18829|20210|20296|20306|20307|20311|20312|20356|22329|24047|55985|74748|109700|238871,Cyp7b1|Hgf|Lbp|Lox|Cxcl9|Pdgfra|Enpp2|Ccl21a|Saa3|Ccl2|Ccl7|Ccl8|Cxcl5|Cx3cl1|Sema5a|Vcam1|Ccl19|Cxcl13|Slamf8|Itga1|Pde4d,-7.3,Pdgfra_low_UP
GO Biological Processes,19,GO:0019884,antigen processing and presentation of exogenous antigen,19_GO:0002376 immune system process,-9.1,15,11,16289,34,325,10,3.1,0.96,12010|14960|14961|14969|14972|14998|16149|17476|21355|21356,B2m|H2-Aa|H2-Ab1|H2-Eb1|H2-K1|H2-DMa|Cd74|Mpeg1|Tap2|Tapbp,-7.1,Pdgfra_low_UP
GO Biological Processes,19,GO:0034341,response to type II interferon,19_GO:0044419 biological process involved in interspecies interaction between organisms,-9,7,9.2,16289,114,325,16,4.9,1.2,14469|14960|14961|14969|15018|16149|16452|17472|20296|20846|24108|68713|76074|80876|100702|229898,Gbp2|H2-Aa|H2-Ab1|H2-Eb1|H2-Q7|Cd74|Jak2|Gbp4|Ccl2|Stat1|Ubd|Ifitm1|Gbp8|Ifitm2|Gbp6|Gbp5,-7,Pdgfra_low_UP
GO Biological Processes,19,GO:0071222,cellular response to lipopolysaccharide,19_GO:0044419 biological process involved in interspecies interaction between organisms,-9,5.4,8.6,16289,186,325,20,6.2,1.3,11303|12010|12475|14469|16452|16803|17329|20296|20311|20846|21929|22038|55985|57783|73914|100702|108155|216161|229898|238871,Abca1|B2m|Cd14|Gbp2|Jak2|Lbp|Cxcl9|Ccl2|Cxcl5|Stat1|Tnfaip3|Plscr1|Cxcl13|Tnip1|Irak3|Gbp6|Ogt|Sbno2|Gbp5|Pde4d,-7,Pdgfra_low_UP
GO Biological Processes,19,GO:0050921,positive regulation of chemotaxis,19_GO:0040011 locomotion,-8.9,6,8.8,16289,150,325,18,5.5,1.3,11820|12168|12317|14165|16149|16803|18595|18829|20296|20306|20312|20356|22341|24047|27226|55985|76527|227541,App|Bmpr2|Calr|Fgf10|Cd74|Lbp|Pdgfra|Ccl21a|Ccl2|Ccl7|Cx3cl1|Sema5a|Vegfc|Ccl19|Pla2g7|Cxcl13|Il34|Camk1d,-6.9,Pdgfra_low_UP
GO Biological Processes,19,GO:0040013,negative regulation of locomotion,19_GO:0040011 locomotion,-8.6,4,7.8,16289,328,325,26,8,1.5,11815|12043|12317|12552|13078|14102|16011|16149|18795|18829|20312|20356|20733|21857|23892|55985|58233|68713|74748|77125|108155|117600|208177|240725|260315|329278,Apod|Bcl2|Calr|Cdh11|Cyp1b1|Fas|Igfbp5|Cd74|Plcb1|Ccl21a|Cx3cl1|Sema5a|Spint2|Timp1|Grem1|Cxcl13|Dnaja4|Ifitm1|Slamf8|Il33|Ogt|Srgap1|Phldb2|Sulf1|Nav3|Tnn,-6.7,Pdgfra_low_UP
GO Biological Processes,19,GO:0071219,cellular response to molecule of bacterial origin,19_GO:0044419 biological process involved in interspecies interaction between organisms,-8.6,5.1,8.3,16289,196,325,20,6.2,1.3,11303|12010|12475|14469|16452|16803|17329|20296|20311|20846|21929|22038|55985|57783|73914|100702|108155|216161|229898|238871,Abca1|B2m|Cd14|Gbp2|Jak2|Lbp|Cxcl9|Ccl2|Cxcl5|Stat1|Tnfaip3|Plscr1|Cxcl13|Tnip1|Irak3|Gbp6|Ogt|Sbno2|Gbp5|Pde4d,-6.6,Pdgfra_low_UP
GO Biological Processes,19,GO:0002688,regulation of leukocyte chemotaxis,19_GO:0040011 locomotion,-8.6,6.6,8.8,16289,122,325,16,4.9,1.2,11820|12317|16149|16803|18829|20296|20306|20312|22341|23892|24047|27226|55985|74748|76527|227541,App|Calr|Cd74|Lbp|Ccl21a|Ccl2|Ccl7|Cx3cl1|Vegfc|Grem1|Ccl19|Pla2g7|Cxcl13|Slamf8|Il34|Camk1d,-6.6,Pdgfra_low_UP
GO Biological Processes,19,GO:0001906,cell killing,19_GO:0009987 cellular process,-8.5,6.5,8.7,16289,124,325,16,4.9,1.2,12010|12266|13032|14469|14964|14972|15040|17105|17329|18829|20307|20723|21355|24047|55985|229898,B2m|C3|Ctsc|Gbp2|H2-D1|H2-K1|H2-T23|Lyz2|Cxcl9|Ccl21a|Ccl8|Serpinb9|Tap2|Ccl19|Cxcl13|Gbp5,-6.5,Pdgfra_low_UP
GO Biological Processes,19,GO:0002501,peptide antigen assembly with MHC protein complex,19_GO:0002376 immune system process,-8.4,25,13,16289,14,325,7,2.2,0.81,12010|12317|14960|14961|14969|14998|21356,B2m|Calr|H2-Aa|H2-Ab1|H2-Eb1|H2-DMa|Tapbp,-6.5,Pdgfra_low_UP
GO Biological Processes,19,GO:0002396,MHC protein complex assembly,19_GO:0009987 cellular process,-8.4,25,13,16289,14,325,7,2.2,0.81,12010|12317|14960|14961|14969|14998|21356,B2m|Calr|H2-Aa|H2-Ab1|H2-Eb1|H2-DMa|Tapbp,-6.5,Pdgfra_low_UP
GO Biological Processes,19,GO:0002474,antigen processing and presentation of peptide antigen via MHC class I,19_GO:0002376 immune system process,-8.4,13,10,16289,40,325,10,3.1,0.96,12010|12317|14964|14972|15018|15040|17476|21355|21356|110557,B2m|Calr|H2-D1|H2-K1|H2-Q7|H2-T23|Mpeg1|Tap2|Tapbp|H2-Q6,-6.4,Pdgfra_low_UP
GO Biological Processes,19,GO:0006935,chemotaxis,19_GO:0040011 locomotion,-8.3,4.1,7.7,16289,291,325,24,7.4,1.5,13123|14165|14178|15234|16803|16948|17329|18595|18606|18829|20210|20296|20306|20307|20311|20312|20356|22329|24047|55985|68545|74748|109700|238871,Cyp7b1|Fgf10|Fgf7|Hgf|Lbp|Lox|Cxcl9|Pdgfra|Enpp2|Ccl21a|Saa3|Ccl2|Ccl7|Ccl8|Cxcl5|Cx3cl1|Sema5a|Vcam1|Ccl19|Cxcl13|Ecscr|Slamf8|Itga1|Pde4d,-6.4,Pdgfra_low_UP
GO Biological Processes,19,GO:2000146,negative regulation of cell motility,19_GO:0040011 locomotion,-8.3,4,7.6,16289,315,325,25,7.7,1.5,11815|12043|12317|12552|13078|14102|16011|16149|18795|18829|20312|20733|21857|23892|55985|58233|68713|74748|77125|108155|117600|208177|240725|260315|329278,Apod|Bcl2|Calr|Cdh11|Cyp1b1|Fas|Igfbp5|Cd74|Plcb1|Ccl21a|Cx3cl1|Spint2|Timp1|Grem1|Cxcl13|Dnaja4|Ifitm1|Slamf8|Il33|Ogt|Srgap1|Phldb2|Sulf1|Nav3|Tnn,-6.4,Pdgfra_low_UP
GO Biological Processes,19,GO:0042330,taxis,19_GO:0040011 locomotion,-8.3,4.1,7.7,16289,292,325,24,7.4,1.5,13123|14165|14178|15234|16803|16948|17329|18595|18606|18829|20210|20296|20306|20307|20311|20312|20356|22329|24047|55985|68545|74748|109700|238871,Cyp7b1|Fgf10|Fgf7|Hgf|Lbp|Lox|Cxcl9|Pdgfra|Enpp2|Ccl21a|Saa3|Ccl2|Ccl7|Ccl8|Cxcl5|Cx3cl1|Sema5a|Vcam1|Ccl19|Cxcl13|Ecscr|Slamf8|Itga1|Pde4d,-6.4,Pdgfra_low_UP
GO Biological Processes,19,GO:0050920,regulation of chemotaxis,19_GO:0040011 locomotion,-8.3,4.9,8,16289,204,325,20,6.2,1.3,11820|12168|12317|14165|16149|16803|18595|18829|20296|20306|20312|20356|22341|23892|24047|27226|55985|74748|76527|227541,App|Bmpr2|Calr|Fgf10|Cd74|Lbp|Pdgfra|Ccl21a|Ccl2|Ccl7|Cx3cl1|Sema5a|Vegfc|Grem1|Ccl19|Pla2g7|Cxcl13|Slamf8|Il34|Camk1d,-6.4,Pdgfra_low_UP
Reactome Gene Sets,6,R-MMU-983170,"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",,-8.2,15,11,16289,31,325,9,2.8,0.91,12010|12317|12330|14972|15018|15040|21355|21356|110557,B2m|Calr|Canx|H2-K1|H2-Q7|H2-T23|Tap2|Tapbp|H2-Q6,-6.3,Pdgfra_low_UP
GO Biological Processes,19,GO:0002690,positive regulation of leukocyte chemotaxis,19_GO:0040011 locomotion,-8.1,7.2,8.7,16289,98,325,14,4.3,1.1,11820|12317|16149|16803|18829|20296|20306|20312|22341|24047|27226|55985|76527|227541,App|Calr|Cd74|Lbp|Ccl21a|Ccl2|Ccl7|Cx3cl1|Vegfc|Ccl19|Pla2g7|Cxcl13|Il34|Camk1d,-6.2,Pdgfra_low_UP
GO Biological Processes,19,GO:0050778,positive regulation of immune response,19_GO:0002376 immune system process,-8,2.9,6.9,16289,620,325,36,11,1.7,12010|12043|12258|12263|12266|12475|12505|14469|14960|14961|14962|14964|14969|14972|14998|15018|15040|16149|16452|16803|21355|22031|22038|24047|24099|50908|50909|57783|65221|77125|110557|210808|211550|215243|229898|238871,B2m|Bcl2|Serping1|C2|C3|Cd14|Cd44|Gbp2|H2-Aa|H2-Ab1|Cfb|H2-D1|H2-Eb1|H2-K1|H2-DMa|H2-Q7|H2-T23|Cd74|Jak2|Lbp|Tap2|Traf3|Plscr1|Ccl19|Tnfsf13b|C1s1|C1ra|Tnip1|Slc15a3|Il33|H2-Q6|Lacc1|Tifa|Traf3ip3|Gbp5|Pde4d,-6.2,Pdgfra_low_UP
KEGG Pathway,24,mmu05332,Graft-versus-host disease - Mus musculus (house mouse),,-8,12,10,16289,43,325,10,3.1,0.96,14102|14960|14961|14964|14969|14972|14998|15018|15040|110557,Fas|H2-Aa|H2-Ab1|H2-D1|H2-Eb1|H2-K1|H2-DMa|H2-Q7|H2-T23|H2-Q6,-6.2,Pdgfra_low_UP
GO Biological Processes,19,GO:0030336,negative regulation of cell migration,19_GO:0040011 locomotion,-8,4,7.4,16289,303,325,24,7.4,1.5,11815|12043|12317|12552|13078|14102|16011|16149|18795|18829|20312|21857|23892|55985|58233|68713|74748|77125|108155|117600|208177|240725|260315|329278,Apod|Bcl2|Calr|Cdh11|Cyp1b1|Fas|Igfbp5|Cd74|Plcb1|Ccl21a|Cx3cl1|Timp1|Grem1|Cxcl13|Dnaja4|Ifitm1|Slamf8|Il33|Ogt|Srgap1|Phldb2|Sulf1|Nav3|Tnn,-6.2,Pdgfra_low_UP
Reactome Gene Sets,6,R-MMU-1236974,ER-Phagosome pathway,,-7.9,17,11,16289,24,325,8,2.5,0.86,12010|12317|14972|15018|15040|21355|21356|110557,B2m|Calr|H2-K1|H2-Q7|H2-T23|Tap2|Tapbp|H2-Q6,-6.1,Pdgfra_low_UP
WikiPathways,27,WP5242,Comprehensive IL 17A signaling,,-7.9,6.9,8.6,16289,101,325,14,4.3,1.1,11475|12043|12266|14701|16000|16452|17392|20311|20656|20846|22589|24099|56045|107589,Acta2|Bcl2|C3|Gng12|Igf1|Jak2|Mmp3|Cxcl5|Sod2|Stat1|Atrx|Tnfsf13b|Samhd1|Mylk,-6.1,Pdgfra_low_UP
GO Biological Processes,19,GO:0022409,positive regulation of cell-cell adhesion,19_GO:0048518 positive regulation of biological process,-7.8,3.9,7.3,16289,309,325,24,7.4,1.5,12010|12505|14960|14961|14969|14998|16000|16149|16195|16196|16403|16452|17311|17909|17973|18829|20296|20312|22329|24047|24099|55985|238871|269152,B2m|Cd44|H2-Aa|H2-Ab1|H2-Eb1|H2-DMa|Igf1|Cd74|Il6st|Il7|Itga6|Jak2|Kitl|Myo10|Nck1|Ccl21a|Ccl2|Cx3cl1|Vcam1|Ccl19|Tnfsf13b|Cxcl13|Pde4d|Kif26b,-6,Pdgfra_low_UP
KEGG Pathway,24,mmu05330,Allograft rejection - Mus musculus (house mouse),,-7.8,11,9.7,16289,45,325,10,3.1,0.96,14102|14960|14961|14964|14969|14972|14998|15018|15040|110557,Fas|H2-Aa|H2-Ab1|H2-D1|H2-Eb1|H2-K1|H2-DMa|H2-Q7|H2-T23|H2-Q6,-6,Pdgfra_low_UP
GO Biological Processes,19,GO:0071216,cellular response to biotic stimulus,19_GO:0050896 response to stimulus,-7.7,4.6,7.6,16289,220,325,20,6.2,1.3,11303|12010|12475|14469|16452|16803|17329|20296|20311|20846|21929|22038|55985|57783|73914|100702|108155|216161|229898|238871,Abca1|B2m|Cd14|Gbp2|Jak2|Lbp|Cxcl9|Ccl2|Cxcl5|Stat1|Tnfaip3|Plscr1|Cxcl13|Tnip1|Irak3|Gbp6|Ogt|Sbno2|Gbp5|Pde4d,-6,Pdgfra_low_UP
KEGG Pathway,24,mmu04060,Cytokine-cytokine receptor interaction - Mus musculus (house mouse),,-7.7,4.3,7.4,16289,244,325,21,6.5,1.4,12167|12168|14102|14600|15976|16164|16195|16196|16847|17329|18829|20296|20306|20307|20311|20312|24047|24099|55985|76527|77125,Bmpr1b|Bmpr2|Fas|Ghr|Ifnar2|Il13ra1|Il6st|Il7|Lepr|Cxcl9|Ccl21a|Ccl2|Ccl7|Ccl8|Cxcl5|Cx3cl1|Ccl19|Tnfsf13b|Cxcl13|Il34|Il33,-5.9,Pdgfra_low_UP
KEGG Pathway,24,mmu05320,Autoimmune thyroid disease - Mus musculus (house mouse),,-7.6,11,9.5,16289,47,325,10,3.1,0.96,14102|14960|14961|14964|14969|14972|14998|15018|15040|110557,Fas|H2-Aa|H2-Ab1|H2-D1|H2-Eb1|H2-K1|H2-DMa|H2-Q7|H2-T23|H2-Q6,-5.9,Pdgfra_low_UP
GO Biological Processes,19,GO:0040011,locomotion,19_GO:0040011 locomotion,-7.6,3.8,7.1,16289,319,325,24,7.4,1.5,13123|14165|14178|15234|16803|16948|17329|18595|18606|18829|20210|20296|20306|20307|20311|20312|20356|22329|24047|55985|68545|74748|109700|238871,Cyp7b1|Fgf10|Fgf7|Hgf|Lbp|Lox|Cxcl9|Pdgfra|Enpp2|Ccl21a|Saa3|Ccl2|Ccl7|Ccl8|Cxcl5|Cx3cl1|Sema5a|Vcam1|Ccl19|Cxcl13|Ecscr|Slamf8|Itga1|Pde4d,-5.8,Pdgfra_low_UP
GO Biological Processes,19,GO:0006959,humoral immune response,19_GO:0002376 immune system process,-7.5,4.9,7.6,16289,184,325,18,5.5,1.3,11535|11820|12010|12258|12263|12266|14962|17329|18829|20296|20306|20307|20311|20312|24047|50908|50909|55985,Adm|App|B2m|Serping1|C2|C3|Cfb|Cxcl9|Ccl21a|Ccl2|Ccl7|Ccl8|Cxcl5|Cx3cl1|Ccl19|C1s1|C1ra|Cxcl13,-5.8,Pdgfra_low_UP
GO Biological Processes,19,GO:0071396,cellular response to lipid,19_GO:0050896 response to stimulus,-7.4,3.3,6.8,16289,429,325,28,8.6,1.6,11303|12010|12475|13123|14469|14677|16000|16452|16803|17329|17718|18023|18795|19883|20296|20311|20846|21929|22038|55985|56615|57783|73914|100702|108155|216161|229898|238871,Abca1|B2m|Cd14|Cyp7b1|Gbp2|Gnai1|Igf1|Jak2|Lbp|Cxcl9|ND3|Nfe2l1|Plcb1|Rora|Ccl2|Cxcl5|Stat1|Tnfaip3|Plscr1|Cxcl13|Mgst1|Tnip1|Irak3|Gbp6|Ogt|Sbno2|Gbp5|Pde4d,-5.7,Pdgfra_low_UP
GO Biological Processes,19,GO:0002237,response to molecule of bacterial origin,19_GO:0044419 biological process involved in interspecies interaction between organisms,-7.4,3.8,7.1,16289,302,325,23,7.1,1.4,11303|11535|12010|12475|14469|16452|16803|17329|20296|20311|20846|21355|21929|22038|55985|56615|57783|73914|100702|108155|216161|229898|238871,Abca1|Adm|B2m|Cd14|Gbp2|Jak2|Lbp|Cxcl9|Ccl2|Cxcl5|Stat1|Tap2|Tnfaip3|Plscr1|Cxcl13|Mgst1|Tnip1|Irak3|Gbp6|Ogt|Sbno2|Gbp5|Pde4d,-5.7,Pdgfra_low_UP
GO Biological Processes,19,GO:0002685,regulation of leukocyte migration,19_GO:0040011 locomotion,-7.4,4.3,7.3,16289,232,325,20,6.2,1.3,11815|11820|12317|16149|16803|17311|18795|18829|20296|20306|20312|22341|23892|24047|27226|55985|74748|76527|77125|227541,Apod|App|Calr|Cd74|Lbp|Kitl|Plcb1|Ccl21a|Ccl2|Ccl7|Cx3cl1|Vegfc|Grem1|Ccl19|Pla2g7|Cxcl13|Slamf8|Il34|Il33|Camk1d,-5.7,Pdgfra_low_UP
KEGG Pathway,24,mmu04940,Type I diabetes mellitus - Mus musculus (house mouse),,-7.4,10,9.1,16289,50,325,10,3.1,0.96,14102|14960|14961|14964|14969|14972|14998|15018|15040|110557,Fas|H2-Aa|H2-Ab1|H2-D1|H2-Eb1|H2-K1|H2-DMa|H2-Q7|H2-T23|H2-Q6,-5.7,Pdgfra_low_UP
GO Biological Processes,19,GO:0032496,response to lipopolysaccharide,19_GO:0044419 biological process involved in interspecies interaction between organisms,-7.3,3.9,7,16289,282,325,22,6.8,1.4,11303|11535|12010|12475|14469|16452|16803|17329|20296|20311|20846|21929|22038|55985|56615|57783|73914|100702|108155|216161|229898|238871,Abca1|Adm|B2m|Cd14|Gbp2|Jak2|Lbp|Cxcl9|Ccl2|Cxcl5|Stat1|Tnfaip3|Plscr1|Cxcl13|Mgst1|Tnip1|Irak3|Gbp6|Ogt|Sbno2|Gbp5|Pde4d,-5.6,Pdgfra_low_UP
KEGG Pathway,24,mmu04514,Cell adhesion molecules - Mus musculus (house mouse),,-7.2,5.3,7.6,16289,151,325,16,4.9,1.2,11658|14960|14961|14964|14969|14972|14998|15018|15040|16403|20969|20971|22329|80883|110557|269116,Alcam|H2-Aa|H2-Ab1|H2-D1|H2-Eb1|H2-K1|H2-DMa|H2-Q7|H2-T23|Itga6|Sdc1|Sdc4|Vcam1|Ntng1|H2-Q6|Nfasc,-5.5,Pdgfra_low_UP
GO Biological Processes,19,GO:0045785,positive regulation of cell adhesion,19_GO:0048518 positive regulation of biological process,-7.2,3.1,6.6,16289,492,325,30,9.2,1.6,12010|12317|12505|14960|14961|14969|14998|16000|16149|16195|16196|16403|16452|16772|17311|17909|17973|18606|18829|20296|20312|20971|22329|24047|24099|54519|55985|238871|269152|320712,B2m|Calr|Cd44|H2-Aa|H2-Ab1|H2-Eb1|H2-DMa|Igf1|Cd74|Il6st|Il7|Itga6|Jak2|Lama1|Kitl|Myo10|Nck1|Enpp2|Ccl21a|Ccl2|Cx3cl1|Sdc4|Vcam1|Ccl19|Tnfsf13b|Apbb1ip|Cxcl13|Pde4d|Kif26b|Abi3bp,-5.5,Pdgfra_low_UP
GO Biological Processes,19,GO:0002483,antigen processing and presentation of endogenous peptide antigen,19_GO:0002376 immune system process,-7.2,14,9.9,16289,29,325,8,2.5,0.86,12010|14964|14972|15018|15040|21355|21356|110557,B2m|H2-D1|H2-K1|H2-Q7|H2-T23|Tap2|Tapbp|H2-Q6,-5.5,Pdgfra_low_UP
GO Biological Processes,19,GO:0019885,antigen processing and presentation of endogenous peptide antigen via MHC class I,19_GO:0002376 immune system process,-7.2,14,9.9,16289,29,325,8,2.5,0.86,12010|14964|14972|15018|15040|21355|21356|110557,B2m|H2-D1|H2-K1|H2-Q7|H2-T23|Tap2|Tapbp|H2-Q6,-5.5,Pdgfra_low_UP
GO Biological Processes,19,GO:0032103,positive regulation of response to external stimulus,19_GO:0048518 positive regulation of biological process,-7.1,2.9,6.5,16289,555,325,32,9.8,1.7,11820|12168|12266|12317|12475|13032|14165|14469|16149|16803|18595|18791|18829|20296|20306|20312|20356|22031|22038|22341|24047|27226|55985|57783|65221|76527|77125|210808|211550|215243|227541|229898,App|Bmpr2|C3|Calr|Cd14|Ctsc|Fgf10|Gbp2|Cd74|Lbp|Pdgfra|Plat|Ccl21a|Ccl2|Ccl7|Cx3cl1|Sema5a|Traf3|Plscr1|Vegfc|Ccl19|Pla2g7|Cxcl13|Tnip1|Slc15a3|Il34|Il33|Lacc1|Tifa|Traf3ip3|Camk1d|Gbp5,-5.4,Pdgfra_low_UP
