Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-MMU-72689,Formation of a pool of free 40S subunits,,-9.2,5.4,8.6,16816,94,667,20,3,0.66,11837|16341|16785|16898|19899|19944|19988|20102|26961|27367|53356|54709|55944|66085|66480|67025|67891|76846|223691|100503670,Rplp0|Eif3e|Rpsa|Rps2|Rpl18|Rpl29|Rpl6|Rps4x|Rpl8|Rpl3|Eif3g|Eif3i|Eif3d|Eif3f|Rpl15|Rpl11|Rpl4|Rps9|Eif3l|Rpl5,-6.8,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
GO Molecular Functions,21,GO:0005201,extracellular matrix structural constituent,,-8.8,4.3,8,16816,141,667,24,3.6,0.72,12834|12837|12950|13179|13601|14114|14115|16012|17022|17181|17304|20563|29817|50530|56429|58859|66695|76293|76477|81877|100952|108075|116847|216616,Col6a2|Col8a1|Hapln1|Dcn|Ecm1|Fbln1|Fbln2|Igfbp6|Lum|Matn2|Mfge8|Slit2|Igfbp7|Mfap5|Dpt|Efemp2|Aspn|Mfap4|Pcolce2|Tnxb|Emilin1|Ltbp4|Prelp|Efemp1,-6.5,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
KEGG Pathway,24,mmu03010,Ribosome - Mus musculus (house mouse),,-8.8,4.5,8,16816,130,667,23,3.4,0.71,11837|16785|16898|19899|19944|19988|20102|26961|27176|27367|66163|66407|66419|66480|67025|67891|76846|94063|94064|94065|216767|225215|100503670,Rplp0|Rpsa|Rps2|Rpl18|Rpl29|Rpl6|Rps4x|Rpl8|Rpl7a|Rpl3|Mrpl4|Mrps15|Mrpl11|Rpl15|Rpl11|Rpl4|Rps9|Mrpl16|Mrpl27|Mrpl34|Mrpl22|Rsl24d1|Rpl5,-6.5,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
GO Biological Processes,19,GO:0006518,peptide metabolic process,19_GO:0008152 metabolic process,-8.8,2.6,7.1,16816,468,667,48,7.2,1,11568|11837|13629|13681|13682|13684|14950|16341|16418|16785|16898|19899|19944|19988|20102|20226|23887|26961|27176|27367|53356|54381|54709|55944|66047|66077|66085|66163|66407|66419|66480|66973|67025|67212|67891|70495|76846|79044|94063|94064|94065|94067|99045|216767|223691|225215|233870|100503670,Aebp1|Rplp0|Eef2|Eif4a1|Eif4a2|Eif4e|H13|Eif3e|Eif6|Rpsa|Rps2|Rpl18|Rpl29|Rpl6|Rps4x|Sars|Ggt5|Rpl8|Rpl7a|Rpl3|Eif3g|Cpq|Eif3i|Eif3d|Mrpl54|Aurkaip1|Eif3f|Mrpl4|Mrps15|Mrpl11|Rpl15|Mrps18b|Rpl11|Mrpl55|Rpl4|Atp6ap2|Rps9|Mrps34|Mrpl16|Mrpl27|Mrpl34|Mrpl43|Mrps26|Mrpl22|Eif3l|Rsl24d1|Tufm|Rpl5,-6.4,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
Reactome Gene Sets,6,R-MMU-351202,Metabolism of polyamines,,-8.2,6.4,8.5,16816,59,667,15,2.2,0.57,18245|18247|19173|19175|19177|19182|19184|19185|20810|21762|22123|23996|23997|26446|57296,Oaz1|Oaz2|Psmb5|Psmb6|Psmb7|Psmc3|Psmc5|Psmd4|Srm|Psmd2|Psmd3|Psmc4|Psmd13|Psmb3|Psmd8,-6,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
Reactome Gene Sets,6,R-MMU-350562,Regulation of ornithine decarboxylase (ODC),,-8.2,6.9,8.6,16816,51,667,14,2.1,0.56,18245|18247|19173|19175|19177|19182|19184|19185|21762|22123|23996|23997|26446|57296,Oaz1|Oaz2|Psmb5|Psmb6|Psmb7|Psmc3|Psmc5|Psmd4|Psmd2|Psmd3|Psmc4|Psmd13|Psmb3|Psmd8,-5.9,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
Reactome Gene Sets,6,R-MMU-8939902,Regulation of RUNX2 expression and activity,,-8,6.8,8.5,16816,52,667,14,2.1,0.56,19173|19175|19177|19182|19184|19185|21762|22123|22190|23996|23997|26446|56424|57296,Psmb5|Psmb6|Psmb7|Psmc3|Psmc5|Psmd4|Psmd2|Psmd3|Ubc|Psmc4|Psmd13|Psmb3|Stub1|Psmd8,-5.8,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
Reactome Gene Sets,6,R-MMU-2262752,Cellular responses to stress,,-8,2.6,6.7,16816,433,667,44,6.6,0.96,11758|11972|12343|12460|12608|12955|14778|14950|15499|16476|18412|19173|19175|19177|19182|19184|19185|20657|21672|21762|22123|22142|22143|22190|23996|23997|26417|26446|53598|54683|56351|56444|57296|66144|66156|66508|66538|69654|69802|83409|112406|114143|227613|233016,Prdx6|Atp6v0d1|Capza2|Ccs|Cebpb|Cryab|Gpx3|H13|Hsf1|Jun|Sqstm1|Psmb5|Psmb6|Psmb7|Psmc3|Psmc5|Psmd4|Sod3|Prdx2|Psmd2|Psmd3|Tuba1a|Tuba1b|Ubc|Psmc4|Psmd13|Mapk3|Psmb3|Dctn3|Prdx5|Ptges3|Actr10|Psmd8|Atp6v1f|Anapc11|Lamtor1|Rps19bp1|Dctn2|Cox11|Lamtor2|Egln2|Atp6v0b|Tubb4b|Blvrb,-5.8,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
Reactome Gene Sets,6,R-MMU-8953897,Cellular responses to stimuli,,-7.9,2.5,6.6,16816,436,667,44,6.6,0.96,11758|11972|12343|12460|12608|12955|14778|14950|15499|16476|18412|19173|19175|19177|19182|19184|19185|20657|21672|21762|22123|22142|22143|22190|23996|23997|26417|26446|53598|54683|56351|56444|57296|66144|66156|66508|66538|69654|69802|83409|112406|114143|227613|233016,Prdx6|Atp6v0d1|Capza2|Ccs|Cebpb|Cryab|Gpx3|H13|Hsf1|Jun|Sqstm1|Psmb5|Psmb6|Psmb7|Psmc3|Psmc5|Psmd4|Sod3|Prdx2|Psmd2|Psmd3|Tuba1a|Tuba1b|Ubc|Psmc4|Psmd13|Mapk3|Psmb3|Dctn3|Prdx5|Ptges3|Actr10|Psmd8|Atp6v1f|Anapc11|Lamtor1|Rps19bp1|Dctn2|Cox11|Lamtor2|Egln2|Atp6v0b|Tubb4b|Blvrb,-5.7,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
GO Biological Processes,19,GO:0002181,cytoplasmic translation,19_GO:0008152 metabolic process,-7.8,4.5,7.5,16816,113,667,20,3,0.66,11837|13681|13682|16785|16898|19899|19944|19988|20102|20226|26961|27176|27367|54709|55944|66480|67025|67891|76846|100503670,Rplp0|Eif4a1|Eif4a2|Rpsa|Rps2|Rpl18|Rpl29|Rpl6|Rps4x|Sars|Rpl8|Rpl7a|Rpl3|Eif3i|Eif3d|Rpl15|Rpl11|Rpl4|Rps9|Rpl5,-5.6,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
KEGG Pathway,24,mmu03050,Proteasome - Mus musculus (house mouse),,-7.7,7,8.3,16816,47,667,13,1.9,0.54,19173|19175|19177|19182|19184|19185|21762|22123|23996|23997|26446|56436|57296,Psmb5|Psmb6|Psmb7|Psmc3|Psmc5|Psmd4|Psmd2|Psmd3|Psmc4|Psmd13|Psmb3|Adrm1|Psmd8,-5.5,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
KEGG Pathway,24,mmu05014,Amyotrophic lateral sclerosis - Mus musculus (house mouse),,-7.6,2.7,6.6,16816,355,667,38,5.7,0.9,11727|11744|11947|12015|12028|12460|14778|18412|18643|19173|19175|19177|19182|19184|19185|21762|21937|22123|22142|22143|22273|23996|23997|26446|53598|56436|56444|57296|66445|66734|66945|67680|68202|68342|69654|72900|226646|227613,Ang|Anxa11|Atp5b|Bad|Bax|Ccs|Gpx3|Sqstm1|Pfn1|Psmb5|Psmb6|Psmb7|Psmc3|Psmc5|Psmd4|Psmd2|Tnfrsf1a|Psmd3|Tuba1a|Tuba1b|Uqcrc1|Psmc4|Psmd13|Psmb3|Dctn3|Adrm1|Actr10|Psmd8|Cyc1|Map1lc3a|Sdha|Sdhb|Ndufa5|Ndufb10|Dctn2|Ndufv2|Ndufs2|Tubb4b,-5.4,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
KEGG Pathway,24,mmu05016,Huntington disease - Mus musculus (house mouse),,-7.5,2.9,6.7,16816,297,667,34,5.1,0.85,11773|11947|12028|14778|19173|19175|19177|19182|19184|19185|20022|21762|22123|22142|22143|22273|23996|23997|26446|53598|56436|56444|57296|66420|66445|66945|67680|68202|68342|69654|72900|74325|226646|227613,Ap2m1|Atp5b|Bax|Gpx3|Psmb5|Psmb6|Psmb7|Psmc3|Psmc5|Psmd4|Polr2j|Psmd2|Psmd3|Tuba1a|Tuba1b|Uqcrc1|Psmc4|Psmd13|Psmb3|Dctn3|Adrm1|Actr10|Psmd8|Polr2e|Cyc1|Sdha|Sdhb|Ndufa5|Ndufb10|Dctn2|Ndufv2|Cltb|Ndufs2|Tubb4b,-5.4,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
Reactome Gene Sets,6,R-MMU-8852276,The role of GTSE1 in G2/M progression after G2 checkpoint,,-7.5,5.4,7.7,16816,75,667,16,2.4,0.59,19173|19175|19177|19182|19184|19185|21762|22123|22142|22143|22190|23996|23997|26446|57296|227613,Psmb5|Psmb6|Psmb7|Psmc3|Psmc5|Psmd4|Psmd2|Psmd3|Tuba1a|Tuba1b|Ubc|Psmc4|Psmd13|Psmb3|Psmd8|Tubb4b,-5.4,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
KEGG Pathway,24,mmu05012,Parkinson disease - Mus musculus (house mouse),,-7.4,3,6.7,16816,257,667,31,4.6,0.82,11947|12028|19173|19175|19177|19182|19184|19185|21762|22123|22142|22143|22190|22195|22273|23996|23997|26446|30791|56436|56791|57296|57320|66445|66945|67680|68202|68342|72900|226646|227613,Atp5b|Bax|Psmb5|Psmb6|Psmb7|Psmc3|Psmc5|Psmd4|Psmd2|Psmd3|Tuba1a|Tuba1b|Ubc|Ube2l3|Uqcrc1|Psmc4|Psmd13|Psmb3|Slc39a1|Adrm1|Ube2l6|Psmd8|Park7|Cyc1|Sdha|Sdhb|Ndufa5|Ndufb10|Ndufv2|Ndufs2|Tubb4b,-5.3,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
Reactome Gene Sets,6,R-MMU-9711123,Cellular response to chemical stress,,-7.4,3.8,7,16816,154,667,23,3.4,0.71,11758|12460|14778|14950|18412|19173|19175|19177|19182|19184|19185|20657|21672|21762|22123|22190|23996|23997|26446|54683|57296|69802|233016,Prdx6|Ccs|Gpx3|H13|Sqstm1|Psmb5|Psmb6|Psmb7|Psmc3|Psmc5|Psmd4|Sod3|Prdx2|Psmd2|Psmd3|Ubc|Psmc4|Psmd13|Psmb3|Prdx5|Psmd8|Cox11|Blvrb,-5.3,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
GO Biological Processes,19,GO:0043604,amide biosynthetic process,19_GO:0008152 metabolic process,-7.3,2.4,6.3,16816,488,667,46,6.9,0.98,11837|13629|13681|13682|13684|16341|16418|16785|16898|19899|19944|19988|20102|20226|23887|26961|27176|27367|27404|50935|53356|54709|55944|66047|66077|66085|66163|66407|66419|66480|66973|67025|67212|67891|76846|79044|94063|94064|94065|94067|99045|216767|223691|225215|233870|100503670,Rplp0|Eef2|Eif4a1|Eif4a2|Eif4e|Eif3e|Eif6|Rpsa|Rps2|Rpl18|Rpl29|Rpl6|Rps4x|Sars|Ggt5|Rpl8|Rpl7a|Rpl3|Abca8b|St6galnac6|Eif3g|Eif3i|Eif3d|Mrpl54|Aurkaip1|Eif3f|Mrpl4|Mrps15|Mrpl11|Rpl15|Mrps18b|Rpl11|Mrpl55|Rpl4|Rps9|Mrps34|Mrpl16|Mrpl27|Mrpl34|Mrpl43|Mrps26|Mrpl22|Eif3l|Rsl24d1|Tufm|Rpl5,-5.2,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
Reactome Gene Sets,6,R-MMU-9762114,GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2,,-7.2,6.4,7.9,16816,51,667,13,1.9,0.54,19173|19175|19177|19182|19184|19185|21762|22123|22190|23996|23997|26446|57296,Psmb5|Psmb6|Psmb7|Psmc3|Psmc5|Psmd4|Psmd2|Psmd3|Ubc|Psmc4|Psmd13|Psmb3|Psmd8,-5.1,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
Reactome Gene Sets,6,R-MMU-75815,Ubiquitin-dependent degradation of Cyclin D,,-7.2,6.4,7.9,16816,51,667,13,1.9,0.54,19173|19175|19177|19182|19184|19185|21762|22123|22190|23996|23997|26446|57296,Psmb5|Psmb6|Psmb7|Psmc3|Psmc5|Psmd4|Psmd2|Psmd3|Ubc|Psmc4|Psmd13|Psmb3|Psmd8,-5.1,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
Reactome Gene Sets,6,R-MMU-6807070,PTEN Regulation,,-7.2,4.3,7.1,16816,111,667,19,2.8,0.64,19173|19175|19177|19182|19184|19185|19763|21762|22123|22190|23996|23997|26446|56424|57296|66508|68877|83409|494448,Psmb5|Psmb6|Psmb7|Psmc3|Psmc5|Psmd4|Ring1|Psmd2|Psmd3|Ubc|Psmc4|Psmd13|Psmb3|Stub1|Psmd8|Lamtor1|Maf1|Lamtor2|Cbx6,-5.1,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
Reactome Gene Sets,6,R-MMU-446203,Asparagine N-linked glycosylation,,-7.1,3,6.5,16816,252,667,30,4.5,0.8,11840|11844|12091|12343|12793|13032|18010|19025|20443|22142|22143|22190|24060|29858|50935|53598|56334|56444|59005|59042|66111|66890|67511|68137|69654|107652|108124|225896|227613|245828,Arf1|Arf5|Glb1|Capza2|Cnih1|Ctsc|Neu1|Ctsa|St3gal4|Tuba1a|Tuba1b|Ubc|Slc35a1|Pmm1|St6galnac6|Dctn3|Tmed2|Actr10|Trappc2l|Cope|Tmed3|Lman2|Tmed9|Kdelr1|Dctn2|Uap1|Napa|Ubxn1|Tubb4b|Trappc1,-5,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
Reactome Gene Sets,6,R-MMU-349425,Autodegradation of the E3 ubiquitin ligase COP1,,-7.1,6.3,7.8,16816,52,667,13,1.9,0.54,19173|19175|19177|19182|19184|19185|21762|22123|22190|23996|23997|26446|57296,Psmb5|Psmb6|Psmb7|Psmc3|Psmc5|Psmd4|Psmd2|Psmd3|Ubc|Psmc4|Psmd13|Psmb3|Psmd8,-5,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
Reactome Gene Sets,6,R-MMU-69613,p53-Independent G1/S DNA damage checkpoint,,-7.1,6.3,7.8,16816,52,667,13,1.9,0.54,19173|19175|19177|19182|19184|19185|21762|22123|22190|23996|23997|26446|57296,Psmb5|Psmb6|Psmb7|Psmc3|Psmc5|Psmd4|Psmd2|Psmd3|Ubc|Psmc4|Psmd13|Psmb3|Psmd8,-5,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
Reactome Gene Sets,6,R-MMU-69610,p53-Independent DNA Damage Response,,-7.1,6.3,7.8,16816,52,667,13,1.9,0.54,19173|19175|19177|19182|19184|19185|21762|22123|22190|23996|23997|26446|57296,Psmb5|Psmb6|Psmb7|Psmc3|Psmc5|Psmd4|Psmd2|Psmd3|Ubc|Psmc4|Psmd13|Psmb3|Psmd8,-5,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
Reactome Gene Sets,6,R-MMU-69601,Ubiquitin Mediated Degradation of Phosphorylated Cdc25A,,-7.1,6.3,7.8,16816,52,667,13,1.9,0.54,19173|19175|19177|19182|19184|19185|21762|22123|22190|23996|23997|26446|57296,Psmb5|Psmb6|Psmb7|Psmc3|Psmc5|Psmd4|Psmd2|Psmd3|Ubc|Psmc4|Psmd13|Psmb3|Psmd8,-5,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
GO Biological Processes,19,GO:0043603,amide metabolic process,19_GO:0008152 metabolic process,-7,2.1,5.9,16816,721,667,59,8.8,1.1,11568|11837|13629|13681|13682|13684|14950|15211|15212|16341|16418|16785|16898|18010|18242|19156|19899|19944|19988|20102|20226|23887|26961|27176|27367|27404|50773|50935|53356|54381|54709|55944|56451|66047|66077|66085|66163|66407|66419|66480|66973|67025|67111|67212|67891|70495|76846|79044|94063|94064|94065|94067|99045|104158|216767|223691|225215|233870|100503670,Aebp1|Rplp0|Eef2|Eif4a1|Eif4a2|Eif4e|H13|Hexa|Hexb|Eif3e|Eif6|Rpsa|Rps2|Neu1|Oat|Psap|Rpl18|Rpl29|Rpl6|Rps4x|Sars|Ggt5|Rpl8|Rpl7a|Rpl3|Abca8b|Nt5c|St6galnac6|Eif3g|Cpq|Eif3i|Eif3d|Suclg1|Mrpl54|Aurkaip1|Eif3f|Mrpl4|Mrps15|Mrpl11|Rpl15|Mrps18b|Rpl11|Naaa|Mrpl55|Rpl4|Atp6ap2|Rps9|Mrps34|Mrpl16|Mrpl27|Mrpl34|Mrpl43|Mrps26|Ces1d|Mrpl22|Eif3l|Rsl24d1|Tufm|Rpl5,-4.9,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
Reactome Gene Sets,6,R-MMU-8941858,Regulation of RUNX3 expression and activity,,-7,6.2,7.7,16816,53,667,13,1.9,0.54,19173|19175|19177|19182|19184|19185|21762|22123|22190|23996|23997|26446|57296,Psmb5|Psmb6|Psmb7|Psmc3|Psmc5|Psmd4|Psmd2|Psmd3|Ubc|Psmc4|Psmd13|Psmb3|Psmd8,-4.9,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
Reactome Gene Sets,6,R-MMU-5358346,Hedgehog ligand biogenesis,,-6.9,5.6,7.4,16816,63,667,14,2.1,0.56,19173|19175|19177|19182|19184|19185|21762|22123|22190|23996|23997|26446|57296|216440,Psmb5|Psmb6|Psmb7|Psmc3|Psmc5|Psmd4|Psmd2|Psmd3|Ubc|Psmc4|Psmd13|Psmb3|Psmd8|Os9,-4.9,Infl__Fibroblasts_H_vs_Heal__Fibroblasts_H_DOWN
