Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0040017,positive regulation of locomotion,19_GO:0040011 locomotion,-8.9,2.7,7.2,15189,595,426,45,11,1.5,11502|11674|11745|11853|12978|13051|13653|13838|14388|14747|14751|14824|15200|15251|15368|15442|16159|16412|16854|17387|17390|17918|18438|18591|20304|20620|20656|20779|22339|24088|27226|52822|66102|66824|67299|68750|70097|76089|76763|83433|93695|105722|227541|330662|384783,Adam9|Aldoa|Anxa3|Rhoc|Csf1r|Cx3cr1|Egr1|Epha4|Gab1|Cmklr1|Gpi1|Grn|Hbegf|Hif1a|Hmox1|Hpse|Il12a|Itgb1|Lgals3|Mmp14|Mmp2|Myo5a|P2rx4|Pdgfb|Ccl5|Plk2|Sod2|Src|Vegfa|Tlr2|Pla2g7|Rufy3|Cxcl16|Pycard|Dock7|Rreb1|Sash1|Rapgef2|Mospd2|Trem2|Gpnmb|Ano6|Camk1d|Dock1|Irs2,-5.7,Activated_Mfs
KEGG Pathway,24,mmu04142,Lysosome - Mus musculus (house mouse),,-8.7,5.4,8.4,15189,126,426,19,4.5,1,11432|11886|12492|12512|12514|12751|13030|13032|13033|13039|13040|15211|16783|16889|18173|19025|19156|64138|67963,Acp2|Asah1|Scarb2|Cd63|Cd68|Tpp1|Ctsb|Ctsc|Ctsd|Ctsl|Ctss|Hexa|Lamp1|Lipa|Slc11a1|Ctsa|Psap|Ctsz|Npc2,-5.6,Activated_Mfs
GO Biological Processes,19,GO:0050729,positive regulation of inflammatory response,19_GO:0048518 positive regulation of biological process,-8.6,5,8.2,15189,142,426,20,4.7,1,12266|12520|12774|12978|13032|13040|14131|14824|16193|16835|16956|18413|20304|22320|24088|56312|66725|66824|83433|232801,C3|Cd81|Ccr5|Csf1r|Ctsc|Ctss|Fcgr3|Grn|Il6|Ldlr|Lpl|Osm|Ccl5|Vamp8|Tlr2|Nupr1|Lrrk2|Pycard|Trem2|Lilra5,-5.5,Activated_Mfs
GO Biological Processes,19,GO:0050865,regulation of cell activation,19_GO:0032501 multicellular organismal process,-8.4,2.6,6.9,15189,637,426,46,11,1.5,11816|12192|12479|12494|12520|12522|12523|12575|12978|13011|13032|14130|14629|14824|14960|14969|15368|15902|16159|16193|16783|16835|16854|16911|17289|17319|17387|17973|18591|18782|19261|19419|20304|20971|22320|22329|26362|66725|66824|74748|75345|83433|93695|232801|240354|384783,Apoe|Zfp36l1|Cd1d1|Cd38|Cd81|Cd83|Cd84|Cdkn1a|Csf1r|Cst7|Ctsc|Fcgr2b|Gclc|Grn|H2-Aa|H2-Eb1|Hmox1|Id2|Il12a|Il6|Lamp1|Ldlr|Lgals3|Lmo4|Mertk|Mif|Mmp14|Nck1|Pdgfb|Pla2g2d|Sirpa|Rasgrp1|Ccl5|Sdc4|Vamp8|Vcam1|Axl|Lrrk2|Pycard|Slamf8|Slamf7|Trem2|Gpnmb|Lilra5|Malt1|Irs2,-5.4,Activated_Mfs
GO Biological Processes,19,GO:0150146,cell junction disassembly,19_GO:0009987 cellular process,-8.4,23,12,15189,11,426,7,1.6,0.62,12259|12260|12262|12266|13051|13838|83433,C1qa|C1qb|C1qc|C3|Cx3cr1|Epha4|Trem2,-5.4,Activated_Mfs
GO Biological Processes,19,GO:0001775,cell activation,19_GO:0032501 multicellular organismal process,-7.7,2.4,6.5,15189,673,426,46,11,1.5,11502|11745|11793|12192|12259|12479|12494|12520|12522|12523|12978|13039|13051|13653|14026|14130|14131|14824|14962|15902|16157|16159|16193|16889|17085|17289|17973|18030|18173|18439|18477|18733|18782|19156|19419|20304|24088|26362|30925|66824|74748|75345|75766|83433|217203|240354,Adam9|Anxa3|Atg5|Zfp36l1|C1qa|Cd1d1|Cd38|Cd81|Cd83|Cd84|Csf1r|Ctsl|Cx3cr1|Egr1|Evl|Fcgr2b|Fcgr3|Grn|Cfb|Id2|Il11ra1|Il12a|Il6|Lipa|Ly9|Mertk|Nck1|Nfil3|Slc11a1|P2rx7|Prdx1|Pirb|Pla2g2d|Psap|Rasgrp1|Ccl5|Tlr2|Axl|Slamf6|Pycard|Slamf8|Slamf7|Dcstamp|Trem2|Tmem106a|Malt1,-4.8,Activated_Mfs
GO Biological Processes,19,GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,19_GO:0002376 immune system process,-7.6,4.1,7.3,15189,193,426,22,5.2,1.1,12259|12260|12262|12266|12520|13032|14130|14131|14960|14964|14969|14972|16159|16193|17085|18173|18439|18733|22339|30925|54445|76438,C1qa|C1qb|C1qc|C3|Cd81|Ctsc|Fcgr2b|Fcgr3|H2-Aa|H2-D1|H2-Eb1|H2-K1|Il12a|Il6|Ly9|Slc11a1|P2rx7|Pirb|Vegfa|Slamf6|Unc93b1|Rftn1,-4.8,Activated_Mfs
GO Biological Processes,19,GO:0043410,positive regulation of MAPK cascade,19_GO:0048518 positive regulation of biological process,-7.4,2.7,6.5,15189,467,426,36,8.5,1.3,11502|11816|12266|12520|12523|12978|13838|13982|14130|14388|16193|16878|17319|18413|18439|18591|19156|19419|20304|20305|20308|20779|21858|22033|22339|23886|24088|66725|66824|70097|76089|78943|83433|93695|217203|232801,Adam9|Apoe|C3|Cd81|Cd84|Csf1r|Epha4|Esr1|Fcgr2b|Gab1|Il6|Lif|Mif|Osm|P2rx7|Pdgfb|Psap|Rasgrp1|Ccl5|Ccl6|Ccl9|Src|Timp2|Traf5|Vegfa|Gdf15|Tlr2|Lrrk2|Pycard|Sash1|Rapgef2|Ern1|Trem2|Gpnmb|Tmem106a|Lilra5,-4.6,Activated_Mfs
GO Biological Processes,19,GO:0002252,immune effector process,19_GO:0002376 immune system process,-7.2,3,6.6,15189,351,426,30,7,1.2,11745|12259|12260|12262|12266|12520|13032|14130|14131|14824|14960|14962|14964|14969|14972|16159|16193|16889|17085|18173|18439|18477|18636|18733|19419|30925|54445|66824|76438|83433,Anxa3|C1qa|C1qb|C1qc|C3|Cd81|Ctsc|Fcgr2b|Fcgr3|Grn|H2-Aa|Cfb|H2-D1|H2-Eb1|H2-K1|Il12a|Il6|Lipa|Ly9|Slc11a1|P2rx7|Prdx1|Cfp|Pirb|Rasgrp1|Slamf6|Unc93b1|Pycard|Rftn1|Trem2,-4.5,Activated_Mfs
GO Biological Processes,19,GO:0045807,positive regulation of endocytosis,19_GO:0051179 localization,-7.1,4,7,15189,188,426,21,4.9,1,11816|12266|12402|12512|13057|14130|14131|14962|16412|17289|18173|18636|19261|20620|22339|26362|66725|66824|83433|105722|227541,Apoe|C3|Cbl|Cd63|Cyba|Fcgr2b|Fcgr3|Cfb|Itgb1|Mertk|Slc11a1|Cfp|Sirpa|Plk2|Vegfa|Axl|Lrrk2|Pycard|Trem2|Ano6|Camk1d,-4.4,Activated_Mfs
GO Biological Processes,19,GO:0002694,regulation of leukocyte activation,19_GO:0002376 immune system process,-7.1,2.5,6.2,15189,588,426,41,9.6,1.4,12192|12479|12494|12520|12522|12523|12575|12978|13011|13032|14130|14824|14960|14969|15368|15902|16159|16193|16783|16835|16854|17289|17319|17387|17973|18782|19261|19419|20304|20971|22320|22329|26362|66725|66824|74748|75345|83433|93695|240354|384783,Zfp36l1|Cd1d1|Cd38|Cd81|Cd83|Cd84|Cdkn1a|Csf1r|Cst7|Ctsc|Fcgr2b|Grn|H2-Aa|H2-Eb1|Hmox1|Id2|Il12a|Il6|Lamp1|Ldlr|Lgals3|Mertk|Mif|Mmp14|Nck1|Pla2g2d|Sirpa|Rasgrp1|Ccl5|Sdc4|Vamp8|Vcam1|Axl|Lrrk2|Pycard|Slamf8|Slamf7|Trem2|Gpnmb|Malt1|Irs2,-4.4,Activated_Mfs
GO Biological Processes,19,GO:0043408,regulation of MAPK cascade,19_GO:0050896 response to stimulus,-7.1,2.4,6.2,15189,658,426,44,10,1.5,11502|11816|12266|12520|12523|12978|13838|13982|14130|14388|15502|16193|16600|16878|17319|18413|18439|18477|18591|19156|19252|19261|19419|20304|20305|20308|20779|21858|22033|22339|23886|24088|66725|66824|67702|70097|76089|76108|78943|83433|93695|98432|217203|232801,Adam9|Apoe|C3|Cd81|Cd84|Csf1r|Epha4|Esr1|Fcgr2b|Gab1|Dnaja1|Il6|Klf4|Lif|Mif|Osm|P2rx7|Prdx1|Pdgfb|Psap|Dusp1|Sirpa|Rasgrp1|Ccl5|Ccl6|Ccl9|Src|Timp2|Traf5|Vegfa|Gdf15|Tlr2|Lrrk2|Pycard|Rnf149|Sash1|Rapgef2|Rap2a|Ern1|Trem2|Gpnmb|Phlpp1|Tmem106a|Lilra5,-4.4,Activated_Mfs
GO Biological Processes,19,GO:0048002,antigen processing and presentation of peptide antigen,19_GO:0002376 immune system process,-7.1,7.1,8.1,15189,60,426,12,2.8,0.8,13039|13040|14130|14131|14960|14964|14969|14972|14990|18173|54445|65972,Ctsl|Ctss|Fcgr2b|Fcgr3|H2-Aa|H2-D1|H2-Eb1|H2-K1|H2-M2|Slc11a1|Unc93b1|Ifi30,-4.4,Activated_Mfs
GO Biological Processes,19,GO:0001819,positive regulation of cytokine production,19_GO:0048518 positive regulation of biological process,-7.1,2.7,6.3,15189,481,426,36,8.5,1.3,12266|12479|12520|12522|12523|12774|12978|13057|13058|13653|14131|15251|15442|16159|16193|16956|17085|17319|17381|18173|18413|18439|19419|20304|20779|24088|30925|54445|66725|66824|68279|76438|83433|217203|232801|240354,C3|Cd1d1|Cd81|Cd83|Cd84|Ccr5|Csf1r|Cyba|Cybb|Egr1|Fcgr3|Hif1a|Hpse|Il12a|Il6|Lpl|Ly9|Mif|Mmp12|Slc11a1|Osm|P2rx7|Rasgrp1|Ccl5|Src|Tlr2|Slamf6|Unc93b1|Lrrk2|Pycard|Mcoln2|Rftn1|Trem2|Tmem106a|Lilra5|Malt1,-4.4,Activated_Mfs
GO Biological Processes,19,GO:0032680,regulation of tumor necrosis factor production,19_GO:0032501 multicellular organismal process,-7,4.1,7,15189,174,426,20,4.7,1,12523|12774|12978|13051|13057|13058|14131|16193|16956|17319|19261|19419|24088|26362|66725|66824|83433|93695|217203|232801,Cd84|Ccr5|Csf1r|Cx3cr1|Cyba|Cybb|Fcgr3|Il6|Lpl|Mif|Sirpa|Rasgrp1|Tlr2|Axl|Lrrk2|Pycard|Trem2|Gpnmb|Tmem106a|Lilra5,-4.4,Activated_Mfs
KEGG Pathway,24,mmu05208,Chemical carcinogenesis - reactive oxygen species - Mus musculus (house mouse),,-7,3.8,6.8,15189,208,426,22,5.2,1.1,11739|12864|13057|14281|14862|15251|15368|17708|17709|17710|17716|17717|17718|18033|20656|20779|22333|22339|56615|58810|67680|68202,Slc25a4|Cox6c|Cyba|Fos|Gstm1|Hif1a|Hmox1|COX1|COX2|COX3|ND1|ND2|ND3|Nfkb1|Sod2|Src|Vdac1|Vegfa|Mgst1|Akr1a1|Sdhb|Ndufa5,-4.4,Activated_Mfs
GO Biological Processes,19,GO:0009611,response to wounding,19_GO:0050896 response to stimulus,-7,3,6.5,15189,340,426,29,6.8,1.2,11747|12192|12266|12575|13518|14026|14058|15200|15251|15368|15442|16193|17289|17381|17390|18173|18438|18591|19124|20511|20656|20971|22339|23972|26362|73379|83433|105722|226101,Anxa5|Zfp36l1|C3|Cdkn1a|Dst|Evl|F10|Hbegf|Hif1a|Hmox1|Hpse|Il6|Mertk|Mmp12|Mmp2|Slc11a1|P2rx4|Pdgfb|Procr|Slc1a2|Sod2|Sdc4|Vegfa|Papss2|Axl|Dcbld2|Trem2|Ano6|Myof,-4.3,Activated_Mfs
GO Biological Processes,19,GO:0002697,regulation of immune effector process,19_GO:0002376 immune system process,-6.9,2.8,6.3,15189,402,426,32,7.5,1.3,11793|12266|12479|12520|12523|13051|14130|14131|14751|14824|14825|14962|14964|14972|14990|15368|16159|16193|16783|16854|17319|18439|18636|19419|22320|24088|26362|30925|66824|74748|83433|240354,Atg5|C3|Cd1d1|Cd81|Cd84|Cx3cr1|Fcgr2b|Fcgr3|Gpi1|Grn|Cxcl1|Cfb|H2-D1|H2-K1|H2-M2|Hmox1|Il12a|Il6|Lamp1|Lgals3|Mif|P2rx7|Cfp|Rasgrp1|Vamp8|Tlr2|Axl|Slamf6|Pycard|Slamf8|Trem2|Malt1,-4.3,Activated_Mfs
GO Biological Processes,19,GO:1903555,regulation of tumor necrosis factor superfamily cytokine production,19_GO:0032501 multicellular organismal process,-6.9,4,6.9,15189,177,426,20,4.7,1,12523|12774|12978|13051|13057|13058|14131|16193|16956|17319|19261|19419|24088|26362|66725|66824|83433|93695|217203|232801,Cd84|Ccr5|Csf1r|Cx3cr1|Cyba|Cybb|Fcgr3|Il6|Lpl|Mif|Sirpa|Rasgrp1|Tlr2|Axl|Lrrk2|Pycard|Trem2|Gpnmb|Tmem106a|Lilra5,-4.3,Activated_Mfs
GO Biological Processes,19,GO:0019884,antigen processing and presentation of exogenous antigen,19_GO:0002376 immune system process,-6.8,10,8.7,15189,32,426,9,2.1,0.7,12479|13040|14130|14131|14960|14969|14972|54445|65972,Cd1d1|Ctss|Fcgr2b|Fcgr3|H2-Aa|H2-Eb1|H2-K1|Unc93b1|Ifi30,-4.2,Activated_Mfs
GO Biological Processes,19,GO:0048660,regulation of smooth muscle cell proliferation,19_GO:0050789 regulation of biological process,-6.8,4,6.8,15189,180,426,20,4.7,1,11816|12575|13057|13653|13982|15200|15251|15368|15902|16159|16193|16600|17390|18573|18591|20304|20656|20779|22339|78943,Apoe|Cdkn1a|Cyba|Egr1|Esr1|Hbegf|Hif1a|Hmox1|Id2|Il12a|Il6|Klf4|Mmp2|Pde1a|Pdgfb|Ccl5|Sod2|Src|Vegfa|Ern1,-4.2,Activated_Mfs
GO Biological Processes,19,GO:0002250,adaptive immune response,19_GO:0002376 immune system process,-6.7,3.1,6.4,15189,310,426,27,6.3,1.2,12259|12260|12262|12266|12520|12523|13032|13051|13733|14130|14131|14960|14964|14969|14972|16159|16193|17085|18173|18439|18733|22339|30925|54445|68279|75345|76438,C1qa|C1qb|C1qc|C3|Cd81|Cd84|Ctsc|Cx3cr1|Adgre1|Fcgr2b|Fcgr3|H2-Aa|H2-D1|H2-Eb1|H2-K1|Il12a|Il6|Ly9|Slc11a1|P2rx7|Pirb|Vegfa|Slamf6|Unc93b1|Mcoln2|Slamf7|Rftn1,-4.2,Activated_Mfs
GO Biological Processes,19,GO:0030100,regulation of endocytosis,19_GO:0051179 localization,-6.6,3.1,6.3,15189,315,426,27,6.3,1.2,11793|11816|12266|12402|12512|13057|14130|14131|14962|16412|16854|16976|17289|18173|18636|19261|20620|20779|22320|22339|24088|26362|66725|66824|83433|105722|227541,Atg5|Apoe|C3|Cbl|Cd63|Cyba|Fcgr2b|Fcgr3|Cfb|Itgb1|Lgals3|Lrpap1|Mertk|Slc11a1|Cfp|Sirpa|Plk2|Src|Vamp8|Vegfa|Tlr2|Axl|Lrrk2|Pycard|Trem2|Ano6|Camk1d,-4,Activated_Mfs
GO Biological Processes,19,GO:0032760,positive regulation of tumor necrosis factor production,19_GO:0048518 positive regulation of biological process,-6.5,5,7.1,15189,107,426,15,3.5,0.89,12523|12774|12978|13057|13058|14131|16193|16956|17319|19419|24088|66725|66824|217203|232801,Cd84|Ccr5|Csf1r|Cyba|Cybb|Fcgr3|Il6|Lpl|Mif|Rasgrp1|Tlr2|Lrrk2|Pycard|Tmem106a|Lilra5,-4,Activated_Mfs
GO Biological Processes,19,GO:0071396,cellular response to lipid,19_GO:0050896 response to stimulus,-6.5,2.8,6.1,15189,377,426,30,7,1.2,11303|11502|12192|12514|13051|13684|13982|14825|15502|16159|16193|16835|16956|17390|17718|18033|19261|20304|20393|20779|22352|26362|56615|66102|66824|83433|98496|231070|240354|414084,Abca1|Adam9|Zfp36l1|Cd68|Cx3cr1|Eif4e|Esr1|Cxcl1|Dnaja1|Il12a|Il6|Ldlr|Lpl|Mmp2|ND3|Nfkb1|Sirpa|Ccl5|Sgk1|Src|Vim|Axl|Mgst1|Cxcl16|Pycard|Trem2|Pid1|Insig1|Malt1|Tnip3,-4,Activated_Mfs
WikiPathways,27,WP412,Oxidative stress response,,-6.4,11,8.6,15189,26,426,8,1.9,0.66,13057|14281|14629|15368|17748|18033|20656|56615,Cyba|Fos|Gclc|Hmox1|Mt1|Nfkb1|Sod2|Mgst1,-3.9,Activated_Mfs
GO Biological Processes,19,GO:0002478,antigen processing and presentation of exogenous peptide antigen,19_GO:0002376 immune system process,-6.4,11,8.6,15189,26,426,8,1.9,0.66,13040|14130|14131|14960|14969|14972|54445|65972,Ctss|Fcgr2b|Fcgr3|H2-Aa|H2-Eb1|H2-K1|Unc93b1|Ifi30,-3.9,Activated_Mfs
GO Biological Processes,19,GO:1903557,positive regulation of tumor necrosis factor superfamily cytokine production,19_GO:0048518 positive regulation of biological process,-6.4,4.9,7,15189,109,426,15,3.5,0.89,12523|12774|12978|13057|13058|14131|16193|16956|17319|19419|24088|66725|66824|217203|232801,Cd84|Ccr5|Csf1r|Cyba|Cybb|Fcgr3|Il6|Lpl|Mif|Rasgrp1|Tlr2|Lrrk2|Pycard|Tmem106a|Lilra5,-3.9,Activated_Mfs
GO Biological Processes,19,GO:0002699,positive regulation of immune effector process,19_GO:0002376 immune system process,-6.4,3.2,6.2,15189,281,426,25,5.9,1.1,12266|12479|12520|12523|14131|14751|14825|14962|14964|14972|14990|15368|16159|16193|16783|17319|18439|18636|19419|22320|24088|30925|66824|83433|240354,C3|Cd1d1|Cd81|Cd84|Fcgr3|Gpi1|Cxcl1|Cfb|H2-D1|H2-K1|H2-M2|Hmox1|Il12a|Il6|Lamp1|Mif|P2rx7|Cfp|Rasgrp1|Vamp8|Tlr2|Slamf6|Pycard|Trem2|Malt1,-3.9,Activated_Mfs
GO Biological Processes,19,GO:0032787,monocarboxylic acid metabolic process,19_GO:0008152 metabolic process,-6.3,2.7,5.9,15189,428,426,32,7.5,1.3,11674|11886|12266|13167|14081|14751|14862|15211|15251|15277|16832|16889|16956|17319|17918|18641|18648|18655|20397|21391|21991|22333|23945|27052|55951|58810|66469|93747|102294|109672|407243|625249,Aldoa|Asah1|C3|Dbi|Acsl1|Gpi1|Gstm1|Hexa|Hif1a|Hk2|Ldhb|Lipa|Lpl|Mif|Myo5a|Pfkl|Pgam1|Pgk1|Sgpl1|Tbxas1|Tpi1|Vdac1|Mgll|Aoah|Mpc1|Akr1a1|Prxl2b|Echs1|Cyp4v3|Cyb5a|Peds1|Gpx4,-3.9,Activated_Mfs
GO Biological Processes,19,GO:0050766,positive regulation of phagocytosis,19_GO:0051179 localization,-6.3,5.6,7.1,15189,83,426,13,3.1,0.83,12266|13057|14130|14131|14962|17289|18173|18636|19261|66824|83433|105722|227541,C3|Cyba|Fcgr2b|Fcgr3|Cfb|Mertk|Slc11a1|Cfp|Sirpa|Pycard|Trem2|Ano6|Camk1d,-3.8,Activated_Mfs
