Category	CategoryID	GO	Description	PARENT_GO	LogP	Enrichment	Z-score	#TotalGeneInLibrary	#GeneInGO	#GeneInHitList	#GeneInGOAndHitList	%InGO	STDV %InGO	GeneID	Hits	Log(q-value)	GeneList
GO Molecular Functions	21	GO:0046977	TAP binding		-12	45	19	16230	14	208	8	3.8	1.3	14964|14972|15015|15018|15039|21354|21356|110557	H2-D1|H2-K1|H2-Q4|H2-Q7|H2-T22|Tap1|Tapbp|H2-Q6	-9.1	Cajal_UP
GO Biological Processes	19	GO:0002483	antigen processing and presentation of endogenous peptide antigen	19_GO:0002376 immune system process	-12	26	16	16230	30	208	10	4.8	1.5	12010|14964|14972|15015|15018|15039|15040|21354|21356|110557	B2m|H2-D1|H2-K1|H2-Q4|H2-Q7|H2-T22|H2-T23|Tap1|Tapbp|H2-Q6	-9.1	Cajal_UP
GO Biological Processes	19	GO:0019885	antigen processing and presentation of endogenous peptide antigen via MHC class I	19_GO:0002376 immune system process	-12	26	16	16230	30	208	10	4.8	1.5	12010|14964|14972|15015|15018|15039|15040|21354|21356|110557	B2m|H2-D1|H2-K1|H2-Q4|H2-Q7|H2-T22|H2-T23|Tap1|Tapbp|H2-Q6	-9.1	Cajal_UP
GO Biological Processes	19	GO:0042832	defense response to protozoan	19_GO:0044419 biological process involved in interspecies interaction between organisms	-12	21	15	16230	41	208	11	5.3	1.6	14469|15900|16145|17472|54396|55932|60440|76074|100702|229900|100039796	Gbp2|Irf8|Igtp|Gbp4|Irgm2|Gbp3|Iigp1|Gbp8|Gbp6|Gbp7|Tgtp2	-9	Cajal_UP
GO Molecular Functions	21	GO:0003823	antigen binding		-12	17	14	16230	54	208	12	5.8	1.6	14960|14961|14964|14969|14972|15015|15018|15039|15040|21354|100689|110557	H2-Aa|H2-Ab1|H2-D1|H2-Eb1|H2-K1|H2-Q4|H2-Q7|H2-T22|H2-T23|Tap1|Spon2|H2-Q6	-9	Cajal_UP
GO Biological Processes	19	GO:0071346	cellular response to type II interferon	19_GO:0044419 biological process involved in interspecies interaction between organisms	-11	11	12	16230	102	208	15	7.2	1.8	14469|14961|15018|15900|15944|16145|16362|17472|20296|20846|55932|76074|100702|229898|229900	Gbp2|H2-Ab1|H2-Q7|Irf8|Irgm1|Igtp|Irf1|Gbp4|Ccl2|Stat1|Gbp3|Gbp8|Gbp6|Gbp5|Gbp7	-9	Cajal_UP
GO Cellular Components	20	GO:0042824	MHC class I peptide loading complex		-11	42	18	16230	15	208	8	3.8	1.3	12010|14964|14972|15015|15018|21354|21356|110557	B2m|H2-D1|H2-K1|H2-Q4|H2-Q7|Tap1|Tapbp|H2-Q6	-8.9	Cajal_UP
KEGG Pathway	24	mmu05332	Graft-versus-host disease - Mus musculus (house mouse)		-11	20	14	16230	43	208	11	5.3	1.6	14960|14961|14964|14969|14972|14999|15015|15018|15039|15040|110557	H2-Aa|H2-Ab1|H2-D1|H2-Eb1|H2-K1|H2-DMb1|H2-Q4|H2-Q7|H2-T22|H2-T23|H2-Q6	-8.8	Cajal_UP
GO Biological Processes	19	GO:0019883	antigen processing and presentation of endogenous antigen	19_GO:0002376 immune system process	-11	24	15	16230	32	208	10	4.8	1.5	12010|14964|14972|15015|15018|15039|15040|21354|21356|110557	B2m|H2-D1|H2-K1|H2-Q4|H2-Q7|H2-T22|H2-T23|Tap1|Tapbp|H2-Q6	-8.8	Cajal_UP
GO Biological Processes	19	GO:0001562	response to protozoan	19_GO:0044419 biological process involved in interspecies interaction between organisms	-11	20	14	16230	44	208	11	5.3	1.6	14469|15900|16145|17472|54396|55932|60440|76074|100702|229900|100039796	Gbp2|Irf8|Igtp|Gbp4|Irgm2|Gbp3|Iigp1|Gbp8|Gbp6|Gbp7|Tgtp2	-8.8	Cajal_UP
GO Cellular Components	20	GO:0042612	MHC class I protein complex		-11	39	17	16230	16	208	8	3.8	1.3	12010|14964|14972|15015|15018|15039|15040|110557	B2m|H2-D1|H2-K1|H2-Q4|H2-Q7|H2-T22|H2-T23|H2-Q6	-8.7	Cajal_UP
KEGG Pathway	24	mmu05330	Allograft rejection - Mus musculus (house mouse)		-11	19	14	16230	45	208	11	5.3	1.6	14960|14961|14964|14969|14972|14999|15015|15018|15039|15040|110557	H2-Aa|H2-Ab1|H2-D1|H2-Eb1|H2-K1|H2-DMb1|H2-Q4|H2-Q7|H2-T22|H2-T23|H2-Q6	-8.7	Cajal_UP
KEGG Pathway	24	mmu05320	Autoimmune thyroid disease - Mus musculus (house mouse)		-11	18	14	16230	47	208	11	5.3	1.6	14960|14961|14964|14969|14972|14999|15015|15018|15039|15040|110557	H2-Aa|H2-Ab1|H2-D1|H2-Eb1|H2-K1|H2-DMb1|H2-Q4|H2-Q7|H2-T22|H2-T23|H2-Q6	-8.5	Cajal_UP
KEGG Pathway	24	mmu05168	Herpes simplex virus 1 infection - Mus musculus (house mouse)		-11	5	9.3	16230	406	208	26	12	2.3	11796|11797|12010|12043|12266|14960|14961|14964|14969|14972|14999|15015|15018|15039|15040|16149|18033|18035|20296|20846|21354|21356|24135|71586|110557|230073	Birc3|Birc2|B2m|Bcl2|C3|H2-Aa|H2-Ab1|H2-D1|H2-Eb1|H2-K1|H2-DMb1|H2-Q4|H2-Q7|H2-T22|H2-T23|Cd74|Nfkb1|Nfkbia|Ccl2|Stat1|Tap1|Tapbp|Zfp68|Ifih1|H2-Q6|Rigi	-8.5	Cajal_UP
GO Biological Processes	19	GO:0050778	positive regulation of immune response	19_GO:0002376 immune system process	-11	4.1	8.8	16230	587	208	31	15	2.5	12010|12043|12266|14469|14961|14964|14972|14999|15015|15018|15039|15040|15944|16145|16149|16362|18033|18035|18578|20787|50908|54396|55932|71586|77125|101476|110557|110651|229898|229900|230073	B2m|Bcl2|C3|Gbp2|H2-Ab1|H2-D1|H2-K1|H2-DMb1|H2-Q4|H2-Q7|H2-T22|H2-T23|Irgm1|Igtp|Cd74|Irf1|Nfkb1|Nfkbia|Pde4b|Srebf1|C1s1|Irgm2|Gbp3|Ifih1|Il33|Plekha1|H2-Q6|Rps6ka3|Gbp5|Gbp7|Rigi	-8.4	Cajal_UP
KEGG Pathway	24	mmu04940	Type I diabetes mellitus - Mus musculus (house mouse)		-11	17	13	16230	50	208	11	5.3	1.6	14960|14961|14964|14969|14972|14999|15015|15018|15039|15040|110557	H2-Aa|H2-Ab1|H2-D1|H2-Eb1|H2-K1|H2-DMb1|H2-Q4|H2-Q7|H2-T22|H2-T23|H2-Q6	-8.2	Cajal_UP
Reactome Gene Sets	6	R-MMU-1236974	ER-Phagosome pathway		-11	26	15	16230	27	208	9	4.3	1.4	12010|14972|15015|15018|15039|15040|21354|21356|110557	B2m|H2-K1|H2-Q4|H2-Q7|H2-T22|H2-T23|Tap1|Tapbp|H2-Q6	-8.2	Cajal_UP
Reactome Gene Sets	6	R-MMU-1236975	Antigen processing-Cross presentation		-10	12	12	16230	84	208	13	6.2	1.7	12010|14972|15015|15018|15039|15040|16912|16913|19171|19186|21354|21356|110557	B2m|H2-K1|H2-Q4|H2-Q7|H2-T22|H2-T23|Psmb9|Psmb8|Psmb10|Psme1|Tap1|Tapbp|H2-Q6	-8	Cajal_UP
GO Biological Processes	19	GO:0002474	antigen processing and presentation of peptide antigen via MHC class I	19_GO:0002376 immune system process	-10	20	13	16230	40	208	10	4.8	1.5	12010|14964|14972|15015|15018|15039|15040|21354|21356|110557	B2m|H2-D1|H2-K1|H2-Q4|H2-Q7|H2-T22|H2-T23|Tap1|Tapbp|H2-Q6	-8	Cajal_UP
GO Molecular Functions	21	GO:0046979	TAP2 binding		-10	42	17	16230	13	208	7	3.4	1.3	14964|14972|15018|15039|21354|21356|110557	H2-D1|H2-K1|H2-Q7|H2-T22|Tap1|Tapbp|H2-Q6	-7.9	Cajal_UP
GO Molecular Functions	21	GO:0046978	TAP1 binding		-10	42	17	16230	13	208	7	3.4	1.3	14964|14972|15018|15039|21354|21356|110557	H2-D1|H2-K1|H2-Q7|H2-T22|Tap1|Tapbp|H2-Q6	-7.9	Cajal_UP
KEGG Pathway	24	mmu05145	Toxoplasmosis - Mus musculus (house mouse)		-10	10	11	16230	108	208	14	6.7	1.7	11796|11797|12043|12703|14960|14961|14969|14999|15944|16145|18033|18035|20846|54396	Birc3|Birc2|Bcl2|Socs1|H2-Aa|H2-Ab1|H2-Eb1|H2-DMb1|Irgm1|Igtp|Nfkb1|Nfkbia|Stat1|Irgm2	-7.8	Cajal_UP
GO Biological Processes	19	GO:0071396	cellular response to lipid	19_GO:0050896 response to stimulus	-9.9	4.7	8.7	16230	413	208	25	12	2.3	12010|12608|14469|15900|15944|16000|16145|16974|17718|18023|18033|18035|18578|19206|19218|19378|20296|20846|54396|55932|56722|70315|100689|100702|229898	B2m|Cebpb|Gbp2|Irf8|Irgm1|Igf1|Igtp|Lrp6|ND3|Nfe2l1|Nfkb1|Nfkbia|Pde4b|Ptch1|Ptger3|Aldh1a2|Ccl2|Stat1|Irgm2|Gbp3|Litaf|Hdac8|Spon2|Gbp6|Gbp5	-7.7	Cajal_UP
GO Biological Processes	19	GO:0019884	antigen processing and presentation of exogenous antigen	19_GO:0002376 immune system process	-9.8	22	14	16230	32	208	9	4.3	1.4	12010|14960|14961|14969|14972|14999|16149|19186|21356	B2m|H2-Aa|H2-Ab1|H2-Eb1|H2-K1|H2-DMb1|Cd74|Psme1|Tapbp	-7.6	Cajal_UP
GO Cellular Components	20	GO:0032398	MHC class Ib protein complex		-9.5	36	16	16230	15	208	7	3.4	1.3	14964|14972|15015|15018|15039|15040|110557	H2-D1|H2-K1|H2-Q4|H2-Q7|H2-T22|H2-T23|H2-Q6	-7.4	Cajal_UP
Reactome Gene Sets	6	R-MMU-983170	Antigen Presentation: Folding, assembly and peptide loading of class I MHC		-9.5	21	13	16230	34	208	9	4.3	1.4	12010|14972|15015|15018|15039|15040|21354|21356|110557	B2m|H2-K1|H2-Q4|H2-Q7|H2-T22|H2-T23|Tap1|Tapbp|H2-Q6	-7.4	Cajal_UP
GO Biological Processes	19	GO:0032496	response to lipopolysaccharide	19_GO:0044419 biological process involved in interspecies interaction between organisms	-9.5	5.8	9	16230	271	208	20	9.6	2	12010|12608|14469|15900|15944|16145|18033|18035|18578|19218|20296|20846|54396|55932|56722|59079|100689|100702|110651|229898	B2m|Cebpb|Gbp2|Irf8|Irgm1|Igtp|Nfkb1|Nfkbia|Pde4b|Ptger3|Ccl2|Stat1|Irgm2|Gbp3|Litaf|Erbin|Spon2|Gbp6|Rps6ka3|Gbp5	-7.4	Cajal_UP
GO Biological Processes	19	GO:0071222	cellular response to lipopolysaccharide	19_GO:0044419 biological process involved in interspecies interaction between organisms	-9.5	7.1	9.5	16230	188	208	17	8.2	1.9	12010|12608|14469|15900|15944|16145|18033|18035|18578|20296|20846|54396|55932|56722|100689|100702|229898	B2m|Cebpb|Gbp2|Irf8|Irgm1|Igtp|Nfkb1|Nfkbia|Pde4b|Ccl2|Stat1|Irgm2|Gbp3|Litaf|Spon2|Gbp6|Gbp5	-7.4	Cajal_UP
GO Molecular Functions	21	GO:0042608	T cell receptor binding		-9.4	26	14	16230	24	208	8	3.8	1.3	14964|14969|14972|15015|15018|15039|15040|110557	H2-D1|H2-Eb1|H2-K1|H2-Q4|H2-Q7|H2-T22|H2-T23|H2-Q6	-7.3	Cajal_UP
GO Biological Processes	19	GO:0071219	cellular response to molecule of bacterial origin	19_GO:0044419 biological process involved in interspecies interaction between organisms	-9.2	6.7	9.2	16230	198	208	17	8.2	1.9	12010|12608|14469|15900|15944|16145|18033|18035|18578|20296|20846|54396|55932|56722|100689|100702|229898	B2m|Cebpb|Gbp2|Irf8|Irgm1|Igtp|Nfkb1|Nfkbia|Pde4b|Ccl2|Stat1|Irgm2|Gbp3|Litaf|Spon2|Gbp6|Gbp5	-7.1	Cajal_UP
GO Biological Processes	19	GO:0002478	antigen processing and presentation of exogenous peptide antigen	19_GO:0002376 immune system process	-9.1	24	13	16230	26	208	8	3.8	1.3	12010|14960|14961|14969|14972|14999|16149|21356	B2m|H2-Aa|H2-Ab1|H2-Eb1|H2-K1|H2-DMb1|Cd74|Tapbp	-7.1	Cajal_UP
GO Molecular Functions	21	GO:0062061	TAP complex binding		-9.1	47	17	16230	10	208	6	2.9	1.2	14964|14972|15015|15018|21356|110557	H2-D1|H2-K1|H2-Q4|H2-Q7|Tapbp|H2-Q6	-7.1	Cajal_UP
GO Molecular Functions	21	GO:0030881	beta-2-microglobulin binding		-9	32	15	16230	17	208	7	3.4	1.3	14964|14972|15015|15018|15039|15040|110557	H2-D1|H2-K1|H2-Q4|H2-Q7|H2-T22|H2-T23|H2-Q6	-7.1	Cajal_UP
KEGG Pathway	24	mmu05416	Viral myocarditis - Mus musculus (house mouse)		-9	13	11	16230	68	208	11	5.3	1.6	14960|14961|14964|14969|14972|14999|15015|15018|15039|15040|110557	H2-Aa|H2-Ab1|H2-D1|H2-Eb1|H2-K1|H2-DMb1|H2-Q4|H2-Q7|H2-T22|H2-T23|H2-Q6	-7	Cajal_UP
GO Biological Processes	19	GO:0002237	response to molecule of bacterial origin	19_GO:0044419 biological process involved in interspecies interaction between organisms	-9	5.4	8.6	16230	291	208	20	9.6	2	12010|12608|14469|15900|15944|16145|18033|18035|18578|19218|20296|20846|54396|55932|56722|59079|100689|100702|110651|229898	B2m|Cebpb|Gbp2|Irf8|Irgm1|Igtp|Nfkb1|Nfkbia|Pde4b|Ptger3|Ccl2|Stat1|Irgm2|Gbp3|Litaf|Erbin|Spon2|Gbp6|Rps6ka3|Gbp5	-7	Cajal_UP
GO Molecular Functions	21	GO:0003924	GTPase activity		-9	5.4	8.6	16230	291	208	20	9.6	2	14469|14579|14675|14696|15944|15953|16145|17472|26908|54396|55932|60440|75141|76074|100702|229898|229900|232441|240327|100039796	Gbp2|Gem|Gna14|Gnb4|Irgm1|Ifi47|Igtp|Gbp4|Eif2s3y|Irgm2|Gbp3|Iigp1|Rasd2|Gbp8|Gbp6|Gbp5|Gbp7|Rerg|Iigp1c|Tgtp2	-7	Cajal_UP
GO Biological Processes	19	GO:0002428	antigen processing and presentation of peptide antigen via MHC class Ib	19_GO:0002376 immune system process	-8.9	23	13	16230	27	208	8	3.8	1.3	12010|14964|14972|15015|15018|15039|15040|110557	B2m|H2-D1|H2-K1|H2-Q4|H2-Q7|H2-T22|H2-T23|H2-Q6	-7	Cajal_UP
Reactome Gene Sets	6	R-MMU-1236977	Endosomal/Vacuolar pathway		-8.8	30	14	16230	18	208	7	3.4	1.3	12010|14972|15015|15018|15039|15040|110557	B2m|H2-K1|H2-Q4|H2-Q7|H2-T22|H2-T23|H2-Q6	-6.9	Cajal_UP
GO Cellular Components	20	GO:0042613	MHC class II protein complex		-8.7	43	16	16230	11	208	6	2.9	1.2	12010|14960|14961|14969|14999|16149	B2m|H2-Aa|H2-Ab1|H2-Eb1|H2-DMb1|Cd74	-6.8	Cajal_UP
GO Molecular Functions	21	GO:0042287	MHC protein binding		-8.7	17	12	16230	41	208	9	4.3	1.4	14964|14972|15015|15018|15039|15040|16149|21354|110557	H2-D1|H2-K1|H2-Q4|H2-Q7|H2-T22|H2-T23|Cd74|Tap1|H2-Q6	-6.8	Cajal_UP
GO Biological Processes	19	GO:0042742	defense response to bacterium	19_GO:0044419 biological process involved in interspecies interaction between organisms	-8.7	5.8	8.6	16230	242	208	18	8.7	1.9	12010|12608|14469|14972|15900|15944|16145|16819|17105|17472|54396|55932|60440|76074|100689|100702|229898|229900	B2m|Cebpb|Gbp2|H2-K1|Irf8|Irgm1|Igtp|Lcn2|Lyz2|Gbp4|Irgm2|Gbp3|Iigp1|Gbp8|Spon2|Gbp6|Gbp5|Gbp7	-6.7	Cajal_UP
GO Biological Processes	19	GO:0002475	antigen processing and presentation via MHC class Ib	19_GO:0002376 immune system process	-8.5	21	12	16230	30	208	8	3.8	1.3	12010|14964|14972|15015|15018|15039|15040|110557	B2m|H2-D1|H2-K1|H2-Q4|H2-Q7|H2-T22|H2-T23|H2-Q6	-6.7	Cajal_UP
GO Molecular Functions	21	GO:0023026	MHC class II protein complex binding		-8.4	39	15	16230	12	208	6	2.9	1.2	12010|14960|14961|14969|14999|16149	B2m|H2-Aa|H2-Ab1|H2-Eb1|H2-DMb1|Cd74	-6.6	Cajal_UP
GO Biological Processes	19	GO:0071216	cellular response to biotic stimulus	19_GO:0050896 response to stimulus	-8.4	5.9	8.5	16230	223	208	17	8.2	1.9	12010|12608|14469|15900|15944|16145|18033|18035|18578|20296|20846|54396|55932|56722|100689|100702|229898	B2m|Cebpb|Gbp2|Irf8|Irgm1|Igtp|Nfkb1|Nfkbia|Pde4b|Ccl2|Stat1|Irgm2|Gbp3|Litaf|Spon2|Gbp6|Gbp5	-6.5	Cajal_UP
GO Molecular Functions	21	GO:0042288	MHC class I protein binding		-8.3	20	12	16230	32	208	8	3.8	1.3	14964|14972|15015|15018|15039|15040|21354|110557	H2-D1|H2-K1|H2-Q4|H2-Q7|H2-T22|H2-T23|Tap1|H2-Q6	-6.4	Cajal_UP
GO Biological Processes	19	GO:0019221	cytokine-mediated signaling pathway	19_GO:0050896 response to stimulus	-8.2	5.1	8.1	16230	290	208	19	9.1	2	12703|12778|12977|16149|16362|18035|18414|20296|20846|22234|30940|60440|60595|66141|68713|71586|77125|80876|84094	Socs1|Ackr3|Csf1|Cd74|Irf1|Nfkbia|Osmr|Ccl2|Stat1|Ugcg|Usp25|Iigp1|Actn4|Ifitm3|Ifitm1|Ifih1|Il33|Ifitm2|Plvap	-6.4	Cajal_UP
GO Cellular Components	20	GO:0018995	host cellular component		-8.2	56	17	16230	7	208	5	2.4	1.1	14469|55932|60440|100702|229900	Gbp2|Gbp3|Iigp1|Gbp6|Gbp7	-6.4	Cajal_UP
GO Cellular Components	20	GO:0033655	host cell cytoplasm part		-8.2	56	17	16230	7	208	5	2.4	1.1	14469|55932|60440|100702|229900	Gbp2|Gbp3|Iigp1|Gbp6|Gbp7	-6.4	Cajal_UP
GO Cellular Components	20	GO:0043656	host intracellular region		-8.2	56	17	16230	7	208	5	2.4	1.1	14469|55932|60440|100702|229900	Gbp2|Gbp3|Iigp1|Gbp6|Gbp7	-6.4	Cajal_UP
GO Cellular Components	20	GO:0020003	symbiont-containing vacuole		-8.2	56	17	16230	7	208	5	2.4	1.1	14469|55932|60440|100702|229900	Gbp2|Gbp3|Iigp1|Gbp6|Gbp7	-6.4	Cajal_UP
GO Cellular Components	20	GO:0020005	symbiont-containing vacuole membrane		-8.2	56	17	16230	7	208	5	2.4	1.1	14469|55932|60440|100702|229900	Gbp2|Gbp3|Iigp1|Gbp6|Gbp7	-6.4	Cajal_UP
GO Cellular Components	20	GO:0033646	host intracellular part		-8.2	56	17	16230	7	208	5	2.4	1.1	14469|55932|60440|100702|229900	Gbp2|Gbp3|Iigp1|Gbp6|Gbp7	-6.4	Cajal_UP
GO Cellular Components	20	GO:0043657	host cell		-8.2	56	17	16230	7	208	5	2.4	1.1	14469|55932|60440|100702|229900	Gbp2|Gbp3|Iigp1|Gbp6|Gbp7	-6.4	Cajal_UP
GO Biological Processes	19	GO:0051715	cytolysis in another organism	19_GO:0044419 biological process involved in interspecies interaction between organisms	-8.2	56	17	16230	7	208	5	2.4	1.1	14469|16145|55932|229898|229900	Gbp2|Igtp|Gbp3|Gbp5|Gbp7	-6.4	Cajal_UP
GO Cellular Components	20	GO:0030430	host cell cytoplasm		-8.2	56	17	16230	7	208	5	2.4	1.1	14469|55932|60440|100702|229900	Gbp2|Gbp3|Iigp1|Gbp6|Gbp7	-6.4	Cajal_UP
GO Cellular Components	20	GO:0033643	host cell part		-8.2	56	17	16230	7	208	5	2.4	1.1	14469|55932|60440|100702|229900	Gbp2|Gbp3|Iigp1|Gbp6|Gbp7	-6.4	Cajal_UP
KEGG Pathway	24	mmu04621	NOD-like receptor signaling pathway - Mus musculus (house mouse)		-8.1	6.7	8.6	16230	175	208	15	7.2	1.8	11796|11797|12043|12364|14469|15944|18033|18035|20296|20846|54396|55932|59079|229898|229900	Birc3|Birc2|Bcl2|Casp12|Gbp2|Irgm1|Nfkb1|Nfkbia|Ccl2|Stat1|Irgm2|Gbp3|Erbin|Gbp5|Gbp7	-6.3	Cajal_UP
KEGG Pathway	24	mmu04145	Phagosome - Mus musculus (house mouse)		-7.9	7.1	8.7	16230	154	208	14	6.7	1.7	12266|14960|14961|14964|14969|14972|14999|15015|15018|15039|15040|21354|21828|110557	C3|H2-Aa|H2-Ab1|H2-D1|H2-Eb1|H2-K1|H2-DMb1|H2-Q4|H2-Q7|H2-T22|H2-T23|Tap1|Thbs4|H2-Q6	-6.2	Cajal_UP
GO Molecular Functions	21	GO:0042610	CD8 receptor binding		-7.9	33	14	16230	14	208	6	2.9	1.2	14964|14972|15015|15018|15039|110557	H2-D1|H2-K1|H2-Q4|H2-Q7|H2-T22|H2-Q6	-6.2	Cajal_UP
GO Biological Processes	19	GO:0002396	MHC protein complex assembly	19_GO:0009987 cellular process	-7.9	33	14	16230	14	208	6	2.9	1.2	12010|14960|14961|14969|14999|21356	B2m|H2-Aa|H2-Ab1|H2-Eb1|H2-DMb1|Tapbp	-6.2	Cajal_UP
GO Biological Processes	19	GO:0002501	peptide antigen assembly with MHC protein complex	19_GO:0002376 immune system process	-7.9	33	14	16230	14	208	6	2.9	1.2	12010|14960|14961|14969|14999|21356	B2m|H2-Aa|H2-Ab1|H2-Eb1|H2-DMb1|Tapbp	-6.2	Cajal_UP
Reactome Gene Sets	6	R-MMU-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell		-7.9	10	9.5	16230	86	208	11	5.3	1.6	12010|12266|14972|15015|15018|15039|15040|66141|68713|80876|110557	B2m|C3|H2-K1|H2-Q4|H2-Q7|H2-T22|H2-T23|Ifitm3|Ifitm1|Ifitm2|H2-Q6	-6.1	Cajal_UP
GO Cellular Components	20	GO:0000139	Golgi membrane		-7.9	5.5	8	16230	241	208	17	8.2	1.9	14469|14964|14972|15018|15039|15944|16145|17158|20787|21356|22234|27277|54396|57437|74051|110557|229898	Gbp2|H2-D1|H2-K1|H2-Q7|H2-T22|Irgm1|Igtp|Man2a1|Srebf1|Tapbp|Ugcg|Golga5|Irgm2|Golga7|Steap2|H2-Q6|Gbp5	-6.1	Cajal_UP
GO Cellular Components	20	GO:0005797	Golgi medial cisterna		-7.8	23	12	16230	24	208	7	3.4	1.3	14964|14972|15015|15018|17158|27277|110557	H2-D1|H2-K1|H2-Q4|H2-Q7|Man2a1|Golga5|H2-Q6	-6.1	Cajal_UP
