source	target	weight	p_value
Androgen	Psmd8	3.65732836091	3.63130513581e-14
Androgen	Ube2j1	3.76002103397	3.79580818639e-14
Androgen	Fut8	-4.40595359044	7.24871844689e-14
Androgen	Pak1ip1	7.6919315634	9.46159629764e-14
Androgen	Manea	-4.00414637037	1.16701147392e-13
Androgen	Gcg	-2.17133592689	1.25162965851e-13
Androgen	Selenop	6.33678058131	1.28014635193e-13
Androgen	Trpm8	3.83541868895	1.47502166728e-13
Androgen	Scap	2.92921089044	1.59470971519e-13
Androgen	Mccc2	2.80800480204	2.00838093529e-13
EGFR	Lztfl1	-1.87387692925296	2.08099554876229e-18
EGFR	Phlda2	3.50513834140141	2.05306243609827e-17
EGFR	Dusp6	12.629312588446	6.53732395547406e-17
EGFR	Dusp5	7.94303950699731	6.86669004950015e-17
EGFR	Phlda1	6.61962612874247	3.41069329471772e-16
EGFR	Cript	-2.04493786986832	3.77813132457768e-16
EGFR	Dusp4	6.96717967147409	5.48750576591352e-16
EGFR	Epha2	5.41118410206543	6.19938297458677e-16
EGFR	Mccc1	-2.17032352979398	3.20000613262998e-15
EGFR	Has3	2.92373776511949	4.89872137315521e-15
EGFR	Vav3	-3.38648503621611	5.04961187883773e-15
EGFR	Fosl1	7.64782979533842	6.80646496835196e-15
EGFR	Senp7	-2.11034378289699	1.03286730531973e-14
EGFR	Bzw1	2.74615194948898	1.08160939807519e-14
EGFR	Egr4	2.95307638542232	3.19810027419128e-14
EGFR	Pot1	-1.83330085840256	4.84124580807887e-14
EGFR	Lamc2	3.92011572340227	6.32100794517738e-14
EGFR	Atg2b	-1.64558044699328	7.2057042507037e-14
EGFR	Nr1d2	-3.08327244867749	7.3112243484365e-14
EGFR	Larp7	-0.91707745578243	1.24472884028883e-13
EGFR	Myo1a	0.994778119514043	1.38208563094451e-13
EGFR	Golph3l	-2.7415248706061	1.62567914772572e-13
EGFR	Kiaa1522	-2.50694146733729	1.85618812073273e-13
EGFR	Adora1	1.26781000839001	2.69540921364344e-13
EGFR	Rabgap1	-1.26940025889934	2.69581422557506e-13
EGFR	Syf2	-1.40763575246807	3.13714310399917e-13
EGFR	Bbip1	-1.18431895823292	3.59274513794055e-13
EGFR	Pcmtd2	-2.19537544632596	4.03424542969e-13
EGFR	Chrna10	0.689980899769992	4.6780492812745e-13
EGFR	Marf1	-2.29846851744686	4.76513789509986e-13
EGFR	Retreg3	-2.12231778440029	5.55549731803887e-13
EGFR	Pnp	4.64361994164597	5.97532166569382e-13
EGFR	Atxn3	-1.27427867376912	6.11584012153376e-13
EGFR	Etfdh	-1.66845875498315	6.39085668355988e-13
EGFR	Spocd1	4.29568940121941	6.90564814191275e-13
EGFR	Nbr1	-1.99720336416486	1.13585665509965e-12
EGFR	Trib1	3.91779438327681	1.19739035615098e-12
EGFR	Elf2	-1.34292870001263	1.26989480436963e-12
EGFR	Plek2	3.43925696360287	1.44644287558582e-12
EGFR	Cldn8	-2.01870784848733	1.98988739076034e-12
EGFR	Znf224	-1.39730985547392	2.07467947373391e-12
EGFR	Cbarp	0.979442478621881	2.5590335902141e-12
EGFR	Rnf146	-2.17082116400212	2.58250004018122e-12
EGFR	Eapp	-2.23989973033089	2.72426397359463e-12
EGFR	Bsdc1	-1.26936896809616	2.7954697879658e-12
EGFR	Rab33b	-1.78364281596369	3.0490757330867e-12
EGFR	Mbtps1	-1.40660137547869	3.46066638983615e-12
EGFR	Mdfi	1.16010907259944	4.06401123984654e-12
EGFR	Kcnf1	1.57587573013671	4.13941791905429e-12
EGFR	Rbm48	-1.05377423830237	4.16423075870981e-12
EGFR	Klhdc2	-3.59392965455908	5.33625379126342e-12
EGFR	Aen	2.98740289742821	5.36706555323295e-12
EGFR	Pwp2	1.17248838378621	5.59225605006803e-12
EGFR	Dync2li1	-1.43023860195831	6.10405721479443e-12
EGFR	Ccdc28a	-3.1018147713204	6.80054730805061e-12
EGFR	Efhc1	-2.03460366013141	7.09856302903863e-12
EGFR	Xrcc3	1.48795707507058	7.44397669550959e-12
EGFR	Spata2l	1.75649766839173	7.5572386495486e-12
EGFR	Slc45a3	1.9024389018056	8.61208745016952e-12
EGFR	Wdr19	-1.49378942406405	8.97814783382048e-12
EGFR	Trh	0.771964661380765	9.40746359837555e-12
EGFR	Tmem59	-1.8640664265804	9.42457078039621e-12
EGFR	Cept1	-0.994593734124264	1.20278847694673e-11
EGFR	Znf75d	-1.31581947344587	1.44128967910866e-11
EGFR	Tubb4b	4.08451020763625	1.65630497932193e-11
EGFR	Hmox2	1.71963797256777	1.7181624062145e-11
EGFR	Odc1	4.67855082896383	1.72765397274496e-11
EGFR	Exd3	0.779924513470947	1.75010372357754e-11
EGFR	Rcor3	-1.67077239348084	1.75714566033834e-11
EGFR	Znf350	-1.26350006747404	2.16437226905923e-11
EGFR	Dcaf13	1.43423295705024	2.2202644369317e-11
EGFR	N4bp2l2	-1.59401464603044	2.3300352730617e-11
EGFR	Ajuba	-3.19326466262031	2.39593847692888e-11
EGFR	Mmut	-1.69086957005589	2.45759243680692e-11
EGFR	Cfl1	1.32924547866267	2.77853193596486e-11
EGFR	Gpr75	1.03703951529263	2.80238415907666e-11
EGFR	Trim52	-2.01216033190721	3.24504018804949e-11
EGFR	Znf451	-1.05600688074436	4.21440890379188e-11
EGFR	Gramd1c	-2.79709199268972	4.44433120737333e-11
EGFR	C2cd5	-1.93904307015901	5.24568735600833e-11
EGFR	Znf571	-1.903966941986	6.06718270312257e-11
EGFR	Zbed8	-3.11684877428265	6.27685088014365e-11
EGFR	Pthlh	3.6139766530131	6.99501749971927e-11
EGFR	Carf	-1.60128408140437	8.6728873587739e-11
EGFR	Sh2d5	2.43213297611947	8.67884735790569e-11
EGFR	Zscan31	-3.10009170888316	8.86660977878158e-11
EGFR	Myeov	1.72663243437403	9.22206984933342e-11
EGFR	Pnisr	-1.59538804318438	1.00011258331448e-10
EGFR	Ttc33	-1.38440898157233	1.02402302925084e-10
EGFR	Dspp	2.35038711269519	1.08195656755629e-10
EGFR	Anapc16	-1.82101835805423	1.19326758759978e-10
EGFR	Egr3	6.27141550111319	1.28710659028816e-10
EGFR	Foxn3	-1.67954301259901	1.29270452451161e-10
EGFR	Pex1	-1.66166240906158	1.44167713705182e-10
EGFR	Tomm34	1.80597879298749	1.51000017281813e-10
EGFR	Abhd18	-1.2730325781368	1.55790523324653e-10
EGFR	Npnt	-1.87135596634344	1.60121822907369e-10
EGFR	Suds3	-2.19531961765194	1.60984902190309e-10
EGFR	Gabarapl1	-2.95964345352502	1.68256169248599e-10
EGFR	Auh	-2.19400351460581	1.70364639746823e-10
Estrogen	Greb1	17.2401728397	8.58355149715e-57
Estrogen	Tff1	14.4302547293	4.18000223188e-51
Estrogen	Ret	10.7180267789	3.10978808614e-50
Estrogen	Hey2	11.4823694969	3.12912206831e-44
Estrogen	Rapgefl1	10.544895916	5.19709285254e-43
Estrogen	Pgr	8.52814244888	1.37556045779e-41
Estrogen	C5ar2	4.7330543263	2.35742930389e-38
Estrogen	Cxcl12	12.4776735289	3.03864916538e-36
Estrogen	Tpd52l1	10.085513349	1.93211491255e-34
Estrogen	Npy1r	10.6645059299	1.5779940805e-33
Estrogen	Myb	9.4277805658	9.916281347e-32
Estrogen	Calcr	5.39627356601	9.42849339797e-31
Estrogen	Il17rb	11.4189859122	1.09216760513e-29
Estrogen	Snx24	6.89935571746	2.99173470553e-29
Estrogen	Arl3	3.95094805128	5.32114236095e-27
Estrogen	Tgfb3	-5.33026789517	1.64159079811e-25
Estrogen	Olfm1	3.75243310871	1.04938885208e-24
Estrogen	Nkain1	4.73154567799	1.68009570673e-24
Estrogen	Fkbp4	8.25832988113	3.71410934214e-24
Estrogen	Igfbp4	11.6514913965	5.19661359575e-24
Estrogen	Erbb3	-4.88074044723	5.7145322662e-24
Estrogen	Ctnnd2	-3.55466409986	1.48506081374e-23
Estrogen	Siah2	9.43676093773	3.43262458323e-23
Estrogen	Slc22a5	7.73829566495	4.65457756154e-23
Estrogen	Nr5a2	5.15006194006	2.45059255032e-21
Estrogen	Msmb	4.54908081939	3.01286021011e-21
Estrogen	Elovl2	8.69057624608	3.10377250497e-21
Estrogen	Comt	-3.05468575187	5.25398638696e-21
Estrogen	Celsr2	8.66914415272	2.37067496411e-20
Estrogen	Eps15l1	3.14164436919	2.68138031219e-20
Estrogen	Gla	8.44185876447	1.75792223968e-19
Estrogen	Dscam	4.14288012519	2.86926900665e-19
Estrogen	Abcc5	-4.8549878295	5.53615242131e-19
Estrogen	Prss23	8.75522282336	6.99236983658e-19
Estrogen	Rln2	6.71852324093	5.21492137302e-18
Estrogen	Slc25a24	3.66548160476	5.60366752264e-18
Estrogen	Deptor	7.46377846634	2.96512717905e-17
Estrogen	Nrip1	10.0200104925	3.45358629735e-17
Estrogen	Pcp4	6.36520077341	4.77611267081e-17
Estrogen	Armcx6	3.3639024049	1.04348102963e-16
Estrogen	Misp	-4.33416825574	1.28611900263e-16
Estrogen	Ca12	8.41357762757	1.57968970019e-16
Estrogen	Epb41l5	-3.43451140317	1.87369727602e-16
Estrogen	Myo1b	-5.4741888205	1.92643419346e-16
Estrogen	Sh3bp4	-4.87774227508	2.20835476153e-16
Estrogen	Rnf43	-5.41598767784	4.14406318087e-16
Estrogen	Tasor2	4.93576703606	4.34948491305e-16
Estrogen	Ddx10	4.62695785919	5.02998170837e-16
Estrogen	Med13l	3.83741058189	5.96031370772e-16
Estrogen	Upk2	-3.38692225002	7.39626171669e-16
Estrogen	Adora1	5.02379225883	1.12412234005e-15
Estrogen	Kcnj3	-2.98207081773	2.17439663587e-15
Estrogen	Asb13	6.99394259362	2.86473791082e-15
Estrogen	Plpp2	-4.47476054597	3.52198650708e-15
Estrogen	Cep43	2.46840962977	3.59125906526e-15
Estrogen	Il1r1	-6.86624961006	4.02725294703e-15
Estrogen	Xbp1	5.71530844515	4.05429589158e-15
Estrogen	Cap2	5.01154709433	6.8990491452e-15
Estrogen	Rhbdf1	-3.65846843274	1.02582513899e-14
Estrogen	Znf552	2.88661715189	2.13655662872e-14
Estrogen	Cab39l	-4.12631179667	2.20829958603e-14
Estrogen	Rab27b	-5.88914566171	2.71136359293e-14
Estrogen	Plac1	5.06711601484	3.0930239986e-14
Estrogen	Rab9a	-6.00777315701	1.0146319156e-13
Estrogen	Hdac7	-2.03748800346	1.46710319613e-13
Estrogen	Zdhhc7	-4.83093256313	3.30017248966e-13
Estrogen	Sidt1	-4.23204663804	4.44840495554e-13
Estrogen	Rara	3.02158025348	5.51305122139e-13
Estrogen	Fam102a	5.76083870514	5.78498378031e-13
Estrogen	Wwc1	5.58743801371	7.03425490945e-13
Estrogen	Elf5	-3.21644433313	1.23195355134e-12
Estrogen	Ctr9	4.82318209378	1.49183131527e-12
Estrogen	Kiaa0513	-3.62315496931	1.49248829721e-12
Estrogen	Sec14l2	5.23907790111	1.52379457389e-12
Estrogen	Myh14	-2.13654612134	2.2263632288e-12
Estrogen	Mpped2	3.91502173549	2.26574880528e-12
Estrogen	Rbbp8	6.83400284824	2.53895833625e-12
Estrogen	Tle1	-4.10217257102	2.62968217169e-12
Estrogen	Tmem135	-3.50320154881	2.71858838511e-12
Estrogen	Frk	4.90037712333	3.95708205798e-12
Estrogen	Adcy9	3.2478819979	4.04527404205e-12
Estrogen	Egr3	16.0776973153	4.54957828931e-12
Estrogen	Tiam1	4.47348368321	4.8767003644e-12
Estrogen	Casp9	-2.43538830188	4.89149953491e-12
Estrogen	Cldn9	-2.08481449153	7.58757155065e-12
Estrogen	Wfs1	4.21639521035	8.66460386619e-12
Estrogen	Slc7a5	11.2240689529	8.83147124908e-12
Estrogen	Ppif	10.130802152	9.094633196e-12
Estrogen	Cldn4	-3.82821711919	9.18977748796e-12
Estrogen	Gata3	-6.00468746718	9.25937056217e-12
Estrogen	Rcl1	4.21924727177	1.08705389755e-11
Estrogen	Pik3r3	-5.49749606658	1.11685909746e-11
Estrogen	Slc9a1	-2.59442657319	1.15742055897e-11
Estrogen	Sdk2	1.87704625885	1.18897388262e-11
Estrogen	Tacc1	-3.37486737164	1.83332560001e-11
Estrogen	Atp2a3	-2.88202583781	1.85032173303e-11
Estrogen	Esr1	-1.30445244618	2.09589089475e-11
Estrogen	Kcnk5	4.65682787894	2.13824664248e-11
Estrogen	Sgcg	-4.18181325248	2.2788911538e-11
Estrogen	Stc2	10.2860517134	2.29909435434e-11
Hypoxia	Pdk1	13.1204494025588	3.99671559162176e-55
Hypoxia	Ankrd37	8.48497615199521	8.99546230784687e-55
Hypoxia	Fam162a	8.33555155151556	6.7454288577356e-53
Hypoxia	Bnip3l	14.1203023705634	1.98677745432103e-52
Hypoxia	Eno2	14.3269398182242	8.0956554140359e-49
Hypoxia	Ankzf1	7.35816286558204	1.84422153525098e-48
Hypoxia	Ndrg1	22.0871194931399	6.25140202753353e-48
Hypoxia	Insig2	13.5621938432104	7.17225219099871e-46
Hypoxia	Fut11	11.1705821641625	1.08487050904123e-45
Hypoxia	Kdm3a	10.8507527439767	1.96849944934088e-45
Hypoxia	Pfkfb4	8.94027083881991	3.95993497573871e-45
Hypoxia	Gbe1	9.71149934428704	4.3060891068616e-45
Hypoxia	Egln1	9.5944500216631	4.56725694693112e-45
Hypoxia	Pgk1	9.99399139392937	9.88245351266058e-44
Hypoxia	Hilpda	16.7071235476463	1.03305795377928e-43
Hypoxia	Plod2	13.600144008727	1.2180752199164e-43
Hypoxia	Rlf	7.07028547517991	1.38413067776239e-43
Hypoxia	Aldoc	13.1615236445167	8.02807944018583e-42
Hypoxia	Ero1a	9.69819818780012	1.12144422453994e-40
Hypoxia	Aldoa	7.65467808088126	2.45053194014372e-40
Hypoxia	Bnip3	19.4179740395614	6.84654853302919e-40
Hypoxia	Gpi	8.54958022018638	8.579552933562e-40
Hypoxia	Plod1	6.61022484885533	9.4909720163506e-39
Hypoxia	Slc2a1	8.67915398023849	1.20968334885753e-38
Hypoxia	Kdm4b	3.65020932258217	1.49377213750675e-38
Hypoxia	Znf395	8.06093404354757	1.83275173966697e-38
Hypoxia	P4ha1	11.067656692699	2.1186163901675e-36
Hypoxia	Ppfia4	10.8376145634208	2.54429330753656e-36
Hypoxia	Egln3	11.6557279211453	2.34590141300152e-35
Hypoxia	Vldlr	10.2663341424861	9.34706777086058e-35
Hypoxia	Vegfa	10.6128989257688	9.98495548825803e-35
Hypoxia	Efna3	4.21174008937788	8.14992277591852e-34
Hypoxia	Pfkfb3	14.5471920773281	1.76349504952429e-33
Hypoxia	Mxi1	10.8609214546429	2.3351806153835e-33
Hypoxia	Wdr45b	4.50436233227095	3.57138080504812e-33
Hypoxia	Wsb1	7.02422434767253	4.98148172898811e-33
Hypoxia	Ldha	7.65345032180433	1.17607012579491e-32
Hypoxia	Ak4	9.69302350067685	1.44154280735294e-32
Hypoxia	Nckipsd	2.33698250234768	1.55795354439515e-32
Hypoxia	Pgm1	7.88583461642632	8.08973302124454e-32
Hypoxia	Slc25a36	5.32904399026698	1.23862512778968e-30
Hypoxia	Yeats2	5.35312751650689	1.94579021134098e-30
Hypoxia	Angptl4	12.6406906455823	2.03185995907378e-30
Hypoxia	Tmem45a	17.8768001565225	2.22259528036762e-30
Hypoxia	Ngly1	3.5046086484829	2.70538695504621e-30
Hypoxia	Vkorc1	5.41943367385705	5.91152631174704e-30
Hypoxia	Sec61g	4.74111293382792	3.85642870402416e-29
Hypoxia	Eno1	6.10386298739781	4.31027522070963e-29
Hypoxia	C8orf58	3.10787143470826	7.00517712946267e-29
Hypoxia	C4orf47	6.05330092209778	3.3084421329643e-28
Hypoxia	Mapk7	2.63190452108407	3.83715640050677e-28
Hypoxia	Pdk3	4.39975073866122	4.60534497741663e-28
Hypoxia	Ca9	13.9610678389863	4.63982828611125e-28
Hypoxia	Znf292	6.02393811187105	2.19166648376344e-27
Hypoxia	Gapdh	5.04655254386716	2.91279241576931e-27
Hypoxia	Pfkp	9.23320090557446	3.67290476897732e-27
Hypoxia	Nrn1	6.72751686128774	1.02377644516017e-26
Hypoxia	Spag4	10.2130714706145	1.72787214643964e-26
Hypoxia	Riok3	3.73030128423622	1.96778166084856e-26
Hypoxia	P4ha2	6.28034355716225	2.02259658388121e-26
Hypoxia	C4orf3	7.43791888787026	2.79521879785384e-26
Hypoxia	Znf160	2.71392422510592	1.67340048820346e-25
Hypoxia	Wdr54	5.69550164178515	1.68701518419312e-25
Hypoxia	Mpi	3.50216530924174	2.13769573394186e-25
Hypoxia	Clk3	3.56401376708094	2.54476536514916e-25
Hypoxia	Pfkl	3.5446163885829	2.76981118215482e-25
Hypoxia	Adm	17.8256961411318	5.0502592082421e-25
Hypoxia	Nol3	3.93802953611691	5.99444221124706e-25
Hypoxia	Dars1	3.67081584418079	6.51108206012856e-25
Hypoxia	Pkm	4.74517971732424	7.27603201376027e-25
Hypoxia	Pgam1	6.3782651350277	7.45623293312132e-25
Hypoxia	Rab20	4.25626032523686	1.13408312714183e-24
Hypoxia	Sap30	2.90575098757109	1.52780770622734e-24
Hypoxia	Lox	7.46120781623727	1.66216437253772e-24
Hypoxia	Rbpj	3.85145674582072	1.8306508236441e-24
Hypoxia	Crkl	2.55473421340676	2.27122540887126e-24
Hypoxia	Narf	4.09514912532848	4.73073013378372e-24
Hypoxia	Fbxo42	2.25722873294703	5.39774938131521e-24
Hypoxia	Rora	4.50877176026573	7.18064710246467e-24
Hypoxia	Gys1	4.92286334387743	1.34364864776489e-23
Hypoxia	Rnf24	3.85305894212825	3.46966910824949e-23
Hypoxia	Znf654	4.28806196320664	3.65707961091671e-23
Hypoxia	Prss53	1.97450623238105	4.05074537989986e-23
Hypoxia	Fam13a	5.09417982046476	6.67638008548315e-23
Hypoxia	Pop4	-2.31441263366752	7.08249568468426e-23
Hypoxia	Zmpste24	-4.39234027752698	1.33144657740042e-22
Hypoxia	Ppp2r5b	3.48258339617947	1.52885003087064e-22
Hypoxia	Pam	6.26429638624617	1.99495621104244e-22
Hypoxia	Zbtb25	3.41905880784931	2.18114918177752e-22
Hypoxia	Tmx2	-3.69794401757591	2.88492773200099e-22
Hypoxia	Flad1	-3.29421662191825	3.86719752073018e-22
Hypoxia	Ccng2	7.32584066928285	5.81427052975699e-22
Hypoxia	Qrsl1	-2.24529780767581	6.8448759265294e-22
Hypoxia	Loxl2	4.60876786659785	7.27395822814869e-22
Hypoxia	Dolk	-3.46417167159037	1.05026014549572e-21
Hypoxia	Kdm4c	2.25815096166763	1.05921323175868e-21
Hypoxia	Bckdk	2.64503879194614	1.52617358699138e-21
Hypoxia	Tbc1d9b	2.72058685932993	1.86745462832661e-21
Hypoxia	Tpi1	3.75538228532971	2.29555251351212e-21
Hypoxia	Stc2	8.03666591992239	2.93250162586337e-21
JAK-STAT	Oas1	15.0287145880853	1.0579835555034e-41
JAK-STAT	Herc6	8.7696758787049	1.34504062786845e-38
JAK-STAT	Oas3	10.6188418190691	1.21435813407217e-37
JAK-STAT	Plscr1	8.48160317260622	8.95520557924246e-37
JAK-STAT	Ddx60	12.1982332094247	9.15097090089524e-36
JAK-STAT	Trim21	6.67418811717532	1.29926533666833e-35
JAK-STAT	Sp110	8.67871272100352	2.14825578377255e-35
JAK-STAT	Rigi	12.9653782494159	2.65040615761522e-35
JAK-STAT	Rsad2	22.8987274334128	2.80113340842905e-35
JAK-STAT	Stat1	9.08393656608298	3.52905569846832e-35
JAK-STAT	Ifi44	12.4508625272125	3.534853295291e-35
JAK-STAT	Ifit1	27.851363088861	4.35544852466653e-34
JAK-STAT	Ifi44l	18.8671558887454	7.46305141774397e-34
JAK-STAT	Oas2	9.62482643391048	1.01095721160482e-33
JAK-STAT	Sp100	4.47650931610002	1.06879809197877e-33
JAK-STAT	Ifi35	10.5985356820645	6.15541849780128e-33
JAK-STAT	Mx2	11.8187031026258	3.85078410217992e-32
JAK-STAT	Samhd1	7.13344485896906	7.63041603659263e-32
JAK-STAT	Isg15	20.0390335250618	1.16135519157381e-31
JAK-STAT	Ddx60l	7.20228303312216	1.55588511107771e-31
JAK-STAT	Ifi6	12.5796945047128	8.68659848331127e-30
JAK-STAT	Nmi	7.43265458763098	1.75143445308235e-29
JAK-STAT	Usp18	12.1780117527987	5.01933600474894e-29
JAK-STAT	Ifit3	20.5923065601389	5.58997705649108e-29
JAK-STAT	Ifi16	7.28451346284686	7.1757081216267e-29
JAK-STAT	Samd9	10.426219160316	8.97435907736345e-29
JAK-STAT	Eif2ak2	5.72301632487512	2.21889447409393e-28
JAK-STAT	Xaf1	8.78028611502116	2.40394562858488e-28
JAK-STAT	Mx1	19.3841312664934	2.90485489547721e-28
JAK-STAT	Bst2	8.10499358547223	1.50638486969982e-27
JAK-STAT	Ifih1	8.34769265175166	2.3786055352665e-27
JAK-STAT	Slc25a28	3.93346165414405	4.07477899214687e-27
JAK-STAT	Shfl	5.47812604985806	3.42278681408101e-26
JAK-STAT	Rtp4	9.45113967581242	9.22859105245717e-26
JAK-STAT	Tdrd7	6.56664681954279	1.30433999028849e-25
JAK-STAT	Ifi27	11.2026545822811	1.62717448055297e-25
JAK-STAT	Ifit5	7.94806893522353	2.35135232093821e-24
JAK-STAT	Ifitm1	13.9430942118392	2.45383771897597e-24
JAK-STAT	Ube2l6	8.21558512599392	2.48256014964876e-24
JAK-STAT	Pml	3.60852527672784	4.96412717799549e-24
JAK-STAT	Batf2	8.61349510610271	1.10851476121244e-23
JAK-STAT	Epsti1	12.0816176416244	1.22432356986532e-23
JAK-STAT	Apol2	3.656057664879	3.12654654299647e-23
JAK-STAT	Oasl	12.7107272063666	6.59233115627737e-23
JAK-STAT	Lap3	7.38495886733531	9.2157985267562e-23
JAK-STAT	Slc15a3	4.26073918347599	1.21849654892553e-22
JAK-STAT	Irf7	8.06937432090483	3.08272649832274e-22
JAK-STAT	Dhx58	4.9099421347871	3.56346160321431e-22
JAK-STAT	Helz2	4.76215188440194	5.99063945356393e-22
JAK-STAT	Adar	3.87492896070225	8.83642468594821e-22
JAK-STAT	Parp14	6.39728381278698	9.0362249027307e-22
JAK-STAT	Tmem62	2.30693529907938	1.41696315531012e-21
JAK-STAT	Trim14	3.03795885139966	2.3957783078965e-21
JAK-STAT	Sectm1	5.9932298839984	9.93618930810972e-21
JAK-STAT	Rnf114	2.4915675486216	1.51915862561774e-20
JAK-STAT	Apol6	6.47492088303486	3.34341817730883e-20
JAK-STAT	Etv7	4.77952816189511	4.46460806971347e-20
JAK-STAT	Tap2	3.59226036058408	7.76606573477112e-20
JAK-STAT	Ifit2	16.1871460351994	1.52437156702918e-19
JAK-STAT	Parp9	8.7151518590924	1.62213954663484e-19
JAK-STAT	Irf9	7.52658418893156	2.00901301389004e-19
JAK-STAT	Phf11	3.86173133641047	2.45472788541562e-19
